Date,High,Low,Close,Volume,return_2m,return_3m,return_4m,return_5m,return_6m,return_8m,return_12m,expected_return_50d_US3Y,expected_return_50d_US5Y,expected_return_50d_US7Y,expected_return_50d_US10Y,expected_return_50d_US20Y,expected_return_50d_US30Y,expected_return_70d_US3Y,expected_return_70d_US5Y,expected_return_70d_US7Y,expected_return_70d_US10Y,expected_return_70d_US20Y,expected_return_70d_US30Y,expected_return_100d_US3Y,expected_return_100d_US5Y,expected_return_100d_US7Y,expected_return_100d_US10Y,expected_return_100d_US20Y,expected_return_100d_US30Y,expected_return_120d_US3Y,expected_return_120d_US5Y,expected_return_120d_US7Y,expected_return_120d_US10Y,expected_return_120d_US20Y,expected_return_120d_US30Y,expected_return_150d_US3Y,expected_return_150d_US5Y,expected_return_150d_US7Y,expected_return_150d_US10Y,expected_return_150d_US20Y,expected_return_150d_US30Y,expected_return_180d_US3Y,expected_return_180d_US5Y,expected_return_180d_US7Y,expected_return_180d_US10Y,expected_return_180d_US20Y,expected_return_180d_US30Y,expected_return_200d_US3Y,expected_return_200d_US5Y,expected_return_200d_US7Y,expected_return_200d_US10Y,expected_return_200d_US20Y,expected_return_200d_US30Y,expected_return_220d_US3Y,expected_return_220d_US5Y,expected_return_220d_US7Y,expected_return_220d_US10Y,expected_return_220d_US20Y,expected_return_220d_US30Y,expected_return_250d_US3Y,expected_return_250d_US5Y,expected_return_250d_US7Y,expected_return_250d_US10Y,expected_return_250d_US20Y,expected_return_250d_US30Y,expected_return_280d_US3Y,expected_return_280d_US5Y,expected_return_280d_US7Y,expected_return_280d_US10Y,expected_return_280d_US20Y,expected_return_280d_US30Y,expected_return_300d_US3Y,expected_return_300d_US5Y,expected_return_300d_US7Y,expected_return_300d_US10Y,expected_return_300d_US20Y,expected_return_300d_US30Y,expected_return_320d_US3Y,expected_return_320d_US5Y,expected_return_320d_US7Y,expected_return_320d_US10Y,expected_return_320d_US20Y,expected_return_320d_US30Y,expected_return_350d_US3Y,expected_return_350d_US5Y,expected_return_350d_US7Y,expected_return_350d_US10Y,expected_return_350d_US20Y,expected_return_350d_US30Y,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio_x,Debt to Equity ratio,Current Ratio_y,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Price/Earnings,Price/Book,Price/FCF,Price/Sales,Return on Assets,Return on Equity,Return on Tangible Equity
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,382.0,0.0,382.0,0.0,0.0,0.0,0.0,-154.0,1565.0,-511.0,0.0,-22.0,0.0,0.0,-85.0,-908.0,-1526.0,0.0,20.0,0.0,0.0,0.0,0.0,-230.0,-210.0,-172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925.0,9329.0,0.0,0.0,267.0,14620.0,0.0,196.0,3445.0,41.0,3682.0,19160.0,11261.0,0.0,509.0,509.0,11770.0,0.0,0.0,0.0,7390.0,7390.0,19160.0,177.0,71.0,0.0,71.0,0.0,0.0,0.0,0.0,8.0,428.0,120.0,0.0,-709.0,0.0,0.0,-205.0,599.0,-195.0,0.0,-153.0,0.0,0.0,0.0,0.0,278.0,125.0,362.0,0.0,0.0,1.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-382.0,130.0,837.0,967.0,4.0,0.0,11.0,-65.0,-160.0,425.0,-100.0,0.0,-1.0,0.0,343.0,343.0,-66.0,176.0,0.0,-43.0,-43.0,0.0,0.0,0.0,37.0,-6.0,594.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0811,16.9691,16.9691,0.0,16.6489,-20.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1874.0,898.0,976.0,198.0,330.0,0.0,658.0,318.0,-6.0,312.0,694.0,-382.0,0.0,-382.0,0.0,-382.0,448.0,318.0,0.0,0.0,0.0,0.0,,,,,,,
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,125.0,241.0,366.0,-3.0,0.0,16.0,-219.0,-87.0,560.0,-96.0,0.0,0.0,0.0,14.0,14.0,-544.0,-626.0,0.0,-44.0,-44.0,0.0,0.0,0.0,7.0,-37.0,-102.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0005,16.6415,16.6415,0.0,16.4397,14.1705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8047,0.6446,1983.0,932.0,1051.0,221.0,375.0,0.0,721.0,330.0,-4.0,326.0,45.0,281.0,0.0,281.0,0.0,281.0,455.0,330.0,1218.0,1224.0,0.23,0.23,,,,,,,
2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,129.0,235.0,364.0,1.0,0.0,1.0,-13.0,6.0,604.0,-173.0,0.0,0.0,0.0,-33.0,-33.0,-233.0,-439.0,0.0,26.0,26.0,0.0,0.0,0.0,-11.0,15.0,163.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6836,13.7722,13.7722,0.0,13.9747,11.8481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4935,0.3521,1975.0,974.0,1001.0,232.0,368.0,0.0,729.0,272.0,4.0,276.0,42.0,234.0,0.0,234.0,0.0,234.0,401.0,272.0,1218.0,1224.0,0.19,0.19,,,,,,,
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230.0,10677.0,0.0,378.0,0.0,17565.0,922.0,31.0,3345.0,54.0,4352.0,21917.0,13283.0,0.0,0.0,386.0,13669.0,0.0,0.0,110.0,8138.0,8248.0,21917.0,286.0,132.0,271.0,-1181.0,-15.0,0.0,14.0,-68.0,-58.0,631.0,-123.0,0.0,-1.0,0.0,-1302.0,9.0,-542.0,-657.0,0.0,40.0,61.0,0.0,0.0,0.0,-63.0,-23.0,-58.0,81.0,0.0,1.322,0.0,1.3224,0.0,0.1325,51.3452,9.3479,9.3479,0.0,15.8231,13.0415,0.1001,0.0,0.2054,438.1806,3.4675,5.8332,1.3049,3.4675,6.7718,0.5155,0.4151,2193.0,1003.0,1190.0,239.0,614.0,0.0,985.0,205.0,-1.0,347.0,61.0,286.0,0.0,286.0,0.0,286.0,337.0,205.0,1218.0,1224.0,0.23,0.23,,,,,7.65,20.32,34.18
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2375.0,10998.0,0.0,0.0,480.0,18207.0,989.0,31.0,3322.0,30.0,4372.0,22579.0,13549.0,0.0,390.0,390.0,13939.0,0.0,0.0,142.0,8498.0,8640.0,22579.0,255.0,141.0,298.0,439.0,12.0,0.0,13.0,-217.0,-150.0,544.0,-194.0,0.0,0.0,0.0,209.0,209.0,-602.0,-587.0,0.0,-119.0,-119.0,0.0,0.0,0.0,358.0,239.0,164.0,79.0,0.0,1.344,0.0,1.3438,0.0,0.1005,53.1118,15.0679,15.0679,0.0,15.0211,11.9326,0.0946,0.0,0.1943,463.182,2.9514,4.795,1.1294,2.9514,0.0,0.4444,0.2859,2137.0,1002.0,1135.0,185.0,439.0,0.0,813.0,322.0,-1.0,321.0,66.0,255.0,0.0,255.0,0.0,255.0,463.0,322.0,1218.0,1224.0,0.21,0.21,,,,,9.49,25.01,41.33
2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.19354838709677,369.9032258064516,0.0,0.0,18.806451612903224,635.9032258064516,41.645161290322584,72.83870967741936,115.96774193548387,1.7419354838709677,232.19354838709677,868.0967741935484,405.93548387096774,0.0,51.193548387096776,51.193548387096776,457.1290322580645,0.0,0.0,0.7741935483870968,410.19354838709677,410.96774193548384,868.0967741935484,9.838709677419354,4.838709677419355,8.806451612903226,13.64516129032258,-0.8064516129032258,0.0,0.8064516129032258,-3.193548387096774,-3.4193548387096775,20.06451612903226,-7.096774193548387,0.0,-8.806451612903226,0.0,-187.74193548387098,-187.74193548387098,76.58064516129032,-127.06451612903226,0.0,-24.322580645161292,-24.322580645161292,0.0,0.0,0.0,137.4516129032258,113.12903225806451,6.354838709677419,2.6774193548387095,0.0,0.05054838709677419,0.0,0.05053225806451613,0.0,0.00025806451612903227,1.6852290322580645,0.5589354838709678,0.5589354838709678,0.0,0.5603387096774194,0.4283290322580645,0.0027548387096774196,0.0,0.006461290322580645,14.493377419354838,0.07722580645161291,0.10758709677419355,0.036561290322580646,0.07722580645161291,0.3372096774193548,0.016393548387096772,0.010596774193548387,74.09677419354838,35.38709677419355,38.70967741935484,6.516129032258065,14.483870967741936,0.0,25.870967741935484,12.838709677419354,0.03225806451612903,12.870967741935484,3.032258064516129,9.838709677419354,0.0,9.838709677419354,0.0,9.838709677419354,17.677419354838708,12.838709677419354,39.29032258064516,39.483870967741936,0.008064516129032258,0.008064516129032258,,,,,0.19516129032258064,0.4703225806451613,0.7196774193548386
2015-07-07,37.810001373291016,36.0,36.619998931884766,7359000.0,-0.052430317448032,-0.1157836697826278,-0.0103767685554766,-0.0398689002473303,-0.0953030574976564,0.0644456766572083,-0.0081922240800323,0.0183605133398888,0.0160209313347352,0.0143158122462335,0.013165848209802,0.0113021133921373,0.0101124954234152,0.0290834906223894,0.0258763308332267,0.0235389092919726,0.0219625087176384,0.0194076526144071,0.0177768933995786,0.044850471980439,0.0413592732740677,0.0388148403185768,0.0370988273951062,0.0343177030018952,0.0325425172189945,0.0544375159045214,0.0510538123273653,0.0485877232796074,0.0469245469450731,0.0442290542649657,0.042508527022344,0.0745853183566267,0.0704005476347003,0.0673506299899064,0.0652937087876036,0.0619600778735266,0.059832228353903,0.0974809595920132,0.0924750592580284,0.0888266912180056,0.0863661639351995,0.0823784128216861,0.0798330397705074,0.1146692842812592,0.1090665000660895,0.1049831149601184,0.102229204074696,0.0977659691914253,0.094917095861678,0.1290743501540182,0.123273091734897,0.1190450559379104,0.1161935899352915,0.1115722484827713,0.108622456066269,0.149084993027992,0.1431888126702143,0.1388915964772576,0.1359934739285195,0.1312965166943575,0.128298458885318,0.1711163065356012,0.1649976463940087,0.1605382839179328,0.1575308068991839,0.1526566200067289,0.1495454368838852,0.1907704987031766,0.1841888345632057,0.1793920284950914,0.1761569732398515,0.170913952653773,0.1675673437690421,0.213470037644863,0.2062939586497299,0.2010639349753109,0.1975367097065166,0.191820172201919,0.1881713184755801,0.2339680424623143,0.2268273867544018,0.2216231800520248,0.2181133662294916,0.2124250472757307,0.2087942053903515,142.19354838709677,369.9032258064516,,,18.806451612903224,635.9032258064516,41.645161290322584,72.83870967741936,115.96774193548387,1.7419354838709677,232.19354838709677,868.0967741935484,405.93548387096774,,51.193548387096776,51.193548387096776,457.1290322580645,,,0.7741935483870968,410.19354838709677,410.96774193548384,868.0967741935484,9.838709677419354,4.838709677419355,8.806451612903226,13.64516129032258,-0.8064516129032258,,0.8064516129032258,-3.193548387096774,-3.4193548387096775,20.06451612903226,-7.096774193548387,,-8.806451612903226,,-187.74193548387098,-187.74193548387098,76.58064516129032,-127.06451612903226,,-24.322580645161292,-24.322580645161292,,,,137.4516129032258,113.12903225806451,6.354838709677419,2.6774193548387095,,0.05054838709677419,,0.05053225806451613,,0.00025806451612903227,1.6852290322580645,0.5589354838709678,0.5589354838709678,,0.5603387096774194,0.4283290322580645,0.0027548387096774196,,0.006461290322580645,14.493377419354838,0.07722580645161291,0.10758709677419355,0.036561290322580646,0.07722580645161291,0.3372096774193548,0.016393548387096772,0.010596774193548387,74.09677419354838,35.38709677419355,38.70967741935484,6.516129032258065,14.483870967741936,,25.870967741935484,12.838709677419354,0.03225806451612903,12.870967741935484,3.032258064516129,9.838709677419354,,9.838709677419354,,9.838709677419354,17.677419354838708,12.838709677419354,39.29032258064516,39.483870967741936,0.008064516129032258,0.008064516129032258,,,,,0.19516129032258064,0.4703225806451613,0.7196774193548386
2015-07-09,35.52000045776367,33.9900016784668,34.5,3760100.0,-0.0037681469018908,-0.0707245978756226,0.0608695209890171,0.01652173028476,-0.0524638079214787,0.1179710056470788,0.0828985684159873,0.0184001672721796,0.015901969537863,0.0141968504493613,0.0129675785483484,0.0110641897983929,0.00983491789738,0.0291378492628837,0.0257132549117439,0.0233758333704897,0.021690715515167,0.0190815007714414,0.0173963829161186,0.044909644839869,0.0411817546957777,0.0386373217402867,0.0368029630979561,0.033962665845315,0.0321283072029844,0.0544948668126087,0.0508817596031031,0.0484156705553453,0.0466377924046361,0.0438849488164414,0.0421070706657322,0.0746562466739475,0.0701877626827379,0.0671378450379441,0.0649390672009997,0.0615345079696019,0.0593357301326575,0.0975658053603858,0.0922205219529105,0.0885721539128877,0.0859419350933363,0.0818693382114504,0.079239119391899,0.1147642467255841,0.1087816127331148,0.1046982276271437,0.1017543918530715,0.0971961945254758,0.0942523587514036,0.1291726765679015,0.1229781124932468,0.1187500766962602,0.1157019578658745,0.1109822899994708,0.1079341711690852,0.1491849282882933,0.1428890068893104,0.1385917906963537,0.1354937976270128,0.1306969051325496,0.1275989120632088,0.171220012639696,0.1646865280817244,0.1602271656056485,0.15701227637871,0.1520343833821602,0.1488194941552217,0.1908820523326676,0.1838541736747326,0.1790573676066183,0.1755992050923963,0.1702446308768268,0.1667864683626048,0.2135916661024077,0.205929073277096,0.2006990496026769,0.1969285674187934,0.1910904014566512,0.1873199192727677,0.2340890705251603,0.2264643025658639,0.2212600958634869,0.2175082259152617,0.2116988788986549,0.2079470089504296,142.19354838709677,369.9032258064516,,,18.806451612903224,635.9032258064516,41.645161290322584,72.83870967741936,115.96774193548387,1.7419354838709677,232.19354838709677,868.0967741935484,405.93548387096774,,51.193548387096776,51.193548387096776,457.1290322580645,,,0.7741935483870968,410.19354838709677,410.96774193548384,868.0967741935484,9.838709677419354,4.838709677419355,8.806451612903226,13.64516129032258,-0.8064516129032258,,0.8064516129032258,-3.193548387096774,-3.4193548387096775,20.06451612903226,-7.096774193548387,,-8.806451612903226,,-187.74193548387098,-187.74193548387098,76.58064516129032,-127.06451612903226,,-24.322580645161292,-24.322580645161292,,,,137.4516129032258,113.12903225806451,6.354838709677419,2.6774193548387095,,0.05054838709677419,,0.05053225806451613,,0.00025806451612903227,1.6852290322580645,0.5589354838709678,0.5589354838709678,,0.5603387096774194,0.4283290322580645,0.0027548387096774196,,0.006461290322580645,14.493377419354838,0.07722580645161291,0.10758709677419355,0.036561290322580646,0.07722580645161291,0.3372096774193548,0.016393548387096772,0.010596774193548387,74.09677419354838,35.38709677419355,38.70967741935484,6.516129032258065,14.483870967741936,,25.870967741935484,12.838709677419354,0.03225806451612903,12.870967741935484,3.032258064516129,9.838709677419354,,9.838709677419354,,9.838709677419354,17.677419354838708,12.838709677419354,39.29032258064516,39.483870967741936,0.008064516129032258,0.008064516129032258,,,,,0.19516129032258064,0.4703225806451613,0.7196774193548386
