Date,High,Low,Close,Volume,return_2m,return_3m,return_4m,return_5m,return_6m,return_8m,return_12m,expected_return_50d_US3Y,expected_return_50d_US5Y,expected_return_50d_US7Y,expected_return_50d_US10Y,expected_return_50d_US20Y,expected_return_50d_US30Y,expected_return_70d_US3Y,expected_return_70d_US5Y,expected_return_70d_US7Y,expected_return_70d_US10Y,expected_return_70d_US20Y,expected_return_70d_US30Y,expected_return_100d_US3Y,expected_return_100d_US5Y,expected_return_100d_US7Y,expected_return_100d_US10Y,expected_return_100d_US20Y,expected_return_100d_US30Y,expected_return_120d_US3Y,expected_return_120d_US5Y,expected_return_120d_US7Y,expected_return_120d_US10Y,expected_return_120d_US20Y,expected_return_120d_US30Y,expected_return_150d_US3Y,expected_return_150d_US5Y,expected_return_150d_US7Y,expected_return_150d_US10Y,expected_return_150d_US20Y,expected_return_150d_US30Y,expected_return_180d_US3Y,expected_return_180d_US5Y,expected_return_180d_US7Y,expected_return_180d_US10Y,expected_return_180d_US20Y,expected_return_180d_US30Y,expected_return_200d_US3Y,expected_return_200d_US5Y,expected_return_200d_US7Y,expected_return_200d_US10Y,expected_return_200d_US20Y,expected_return_200d_US30Y,expected_return_220d_US3Y,expected_return_220d_US5Y,expected_return_220d_US7Y,expected_return_220d_US10Y,expected_return_220d_US20Y,expected_return_220d_US30Y,expected_return_250d_US3Y,expected_return_250d_US5Y,expected_return_250d_US7Y,expected_return_250d_US10Y,expected_return_250d_US20Y,expected_return_250d_US30Y,expected_return_280d_US3Y,expected_return_280d_US5Y,expected_return_280d_US7Y,expected_return_280d_US10Y,expected_return_280d_US20Y,expected_return_280d_US30Y,expected_return_300d_US3Y,expected_return_300d_US5Y,expected_return_300d_US7Y,expected_return_300d_US10Y,expected_return_300d_US20Y,expected_return_300d_US30Y,expected_return_320d_US3Y,expected_return_320d_US5Y,expected_return_320d_US7Y,expected_return_320d_US10Y,expected_return_320d_US20Y,expected_return_320d_US30Y,expected_return_350d_US3Y,expected_return_350d_US5Y,expected_return_350d_US7Y,expected_return_350d_US10Y,expected_return_350d_US20Y,expected_return_350d_US30Y,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio_x,Debt to Equity ratio,Current Ratio_y,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Price/Earnings,Price/Book,Price/FCF,Price/Sales,Return on Assets,Return on Equity,Return on Tangible Equity
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625.0,2680.0,2756.0,987.0,0.0,8048.0,18147.0,801.0,4934.0,2615.0,28864.0,36912.0,5287.0,9107.0,1660.0,16688.0,21975.0,1097.0,11734.0,-2756.0,0.0,14937.0,36912.0,-487.0,283.0,118.0,401.0,302.0,523.0,0.0,106.0,-185.0,-271.0,-355.0,0.0,18.0,0.0,477.0,477.0,-4.0,136.0,688.0,-993.0,-305.0,876.0,876.0,-214.0,146.0,503.0,369.0,26.0,-214.0,1.522,0.61,1.5222,0.3788,0.6832,0.0965,-15.2641,-15.2641,0.0,-18.7364,-11.9846,0.1123,1.5033,1.5474,58.1625,-3.1582,-4.6986,-1.2733,-1.9548,45.9988,-0.9952,-2.2989,4147.0,4143.0,4.0,41.0,244.0,0.0,637.0,-633.0,-144.0,-777.0,-307.0,-470.0,0.0,-470.0,-17.0,-497.0,-350.0,-633.0,272.3061,272.3061,-1.8302,-1.8302,,,,,,,
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,2857.0,2493.0,1059.0,0.0,7459.0,19033.0,850.0,5032.0,2702.0,30189.0,37648.0,5055.0,9387.0,1723.0,17012.0,22067.0,1097.0,11281.0,-1945.0,0.0,15581.0,37648.0,-459.0,317.0,326.0,643.0,126.0,419.0,0.0,-68.0,144.0,328.0,-612.0,0.0,-3.0,-50.0,33.0,-17.0,-1.0,-633.0,194.0,-253.0,-59.0,0.0,0.0,-33.0,90.0,-2.0,-280.0,27.0,-33.0,1.476,0.602,1.4756,0.376,0.6588,6.5504,-9.4015,-9.4015,0.0,-10.0141,-10.6975,0.1127,1.5909,1.4855,60.5867,-2.0417,-3.005,-0.842,-1.2696,47.9772,1.1708,-0.5043,4244.0,3966.0,278.0,38.0,240.0,0.0,677.0,-399.0,-26.0,-425.0,-108.0,-317.0,0.0,-317.0,-142.0,-454.0,-82.0,-399.0,324.6342,324.6342,-1.4101,-1.4101,,,,,,,
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097.0,2374.0,2516.0,1045.0,0.0,7032.0,19592.0,940.0,5048.0,2845.0,31067.0,38099.0,5017.0,9067.0,1879.0,16864.0,21881.0,1097.0,11297.0,-1559.0,0.0,16218.0,38099.0,124.0,342.0,-79.0,263.0,35.0,111.0,0.0,-117.0,-203.0,184.0,-365.0,0.0,97.0,58.0,490.0,548.0,-4.0,276.0,130.0,-414.0,-284.0,0.0,0.0,-44.0,74.0,-254.0,215.0,16.0,-44.0,1.402,0.559,1.4016,0.3586,0.6211,15.753,2.0585,2.0585,0.0,2.1235,1.6685,0.1211,1.5453,1.944,46.2969,0.7424,1.0743,0.315,0.4746,49.9384,0.5637,-0.5438,4615.0,3888.0,727.0,39.0,234.0,0.0,632.0,95.0,3.0,98.0,-22.0,120.0,0.0,120.0,4.0,77.0,437.0,95.0,324.6342,325.9674,0.24,0.24,,,,,,,
2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481.0,2182.0,2328.0,1031.0,0.0,7022.0,19828.0,1061.0,5051.0,2552.0,31450.0,38472.0,5414.0,8974.0,2705.0,17538.0,22952.0,1097.0,11020.0,-2092.0,0.0,15520.0,38472.0,-268.0,369.0,-333.0,36.0,222.0,215.0,0.0,113.0,1356.0,1124.0,-355.0,0.0,0.0,-8.0,-150.0,-158.0,13.0,-500.0,-119.0,-167.0,-286.0,0.0,0.0,-77.0,153.0,-210.0,415.0,18.0,-77.0,1.297,0.578,1.297,0.3664,0.6327,9.7184,-4.6383,-4.6383,0.0,-7.252,-5.0985,0.1412,2.107,2.4899,36.1458,-1.6618,-2.4549,-0.668,-1.0492,47.7891,3.6408,2.3137,5433.0,4905.0,528.0,51.0,291.0,0.0,780.0,-252.0,-142.0,-394.0,-137.0,-257.0,0.0,-257.0,-11.0,-277.0,117.0,-252.0,311.6355,311.6355,-0.6901,-0.6901,,,,,-3.05,-7.4,-10.91
2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.0,1955.0,2394.0,978.0,0.0,6619.0,19667.0,1058.0,5065.0,2508.0,31216.0,37835.0,5144.0,8925.0,2680.0,16841.0,21985.0,1141.0,10787.0,-2223.0,0.0,15850.0,37835.0,-179.0,358.0,342.0,700.0,-176.0,-105.0,0.0,19.0,-322.0,199.0,-221.0,0.0,5.0,0.0,8.0,8.0,0.0,-208.0,-33.0,-9.0,-42.0,5.0,5.0,-104.0,-39.0,-180.0,-189.0,25.0,-104.0,1.287,0.563,1.2867,0.3602,0.6156,17.8842,1.0436,1.0436,0.0,-1.8007,-4.113,0.1292,1.6763,2.4997,36.0037,-1.089,-1.5948,-0.4546,-0.6942,46.5757,0.5929,-0.0655,4887.0,4013.0,874.0,39.0,239.0,0.0,823.0,51.0,-139.0,-88.0,84.0,-172.0,0.0,-172.0,-7.0,-201.0,409.0,51.0,335.6331,335.6331,-0.6001,-0.6001,,,,,-2.25,-5.41,-7.96
2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.0,2211.0,2391.0,876.0,0.0,6822.0,19138.0,1079.0,5032.0,2393.0,30490.0,37312.0,5702.0,8281.0,2238.0,15885.0,21587.0,1141.0,10892.0,-2393.0,0.0,15725.0,37312.0,170.0,364.0,155.0,519.0,-394.0,-84.0,0.0,84.0,-389.0,300.0,-224.0,0.0,0.0,0.0,-29.0,-29.0,7.0,-246.0,-7.0,42.0,35.0,2.0,2.0,-72.0,38.0,3.0,52.0,25.0,-72.0,1.196,0.527,1.1964,0.345,0.6232,18.8356,6.3813,6.3813,0.0,4.3956,2.6219,0.139,1.7608,2.346,38.3632,1.0913,1.5992,0.4583,0.7123,46.1996,0.7474,0.2105,5187.0,4210.0,977.0,45.0,208.0,0.0,646.0,331.0,-103.0,228.0,57.0,171.0,0.0,171.0,-1.0,136.0,695.0,331.0,340.2993,372.2961,0.39,0.39,,,,,-0.7,-1.67,-2.46
2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.0,2294.0,2435.0,947.0,0.0,6519.0,19914.0,1189.0,5128.0,2550.0,31851.0,38370.0,4682.0,8990.0,2557.0,16910.0,21592.0,1141.0,10922.0,-1688.0,0.0,16778.0,38370.0,109.0,358.0,-44.0,314.0,103.0,95.0,0.0,-83.0,-31.0,392.0,-211.0,0.0,-77.0,0.0,-65.0,-65.0,9.0,-344.0,-465.0,-90.0,-555.0,1.0,1.0,-72.0,52.0,-574.0,-501.0,20.0,-72.0,1.392,0.536,1.3924,0.3489,0.5548,16.5311,4.5773,4.5773,0.0,1.1349,1.1538,0.1378,1.8123,2.3047,39.0505,0.6518,0.9356,0.2841,0.423,49.2823,1.2627,0.5415,5287.0,4413.0,874.0,40.0,232.0,0.0,632.0,242.0,-182.0,60.0,-49.0,109.0,0.0,109.0,0.0,61.0,600.0,242.0,340.2993,342.2991,0.18,0.18,,,,,-0.74,-1.76,-2.58
2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1543.0,1917.0,2584.0,875.0,0.0,6919.0,20183.0,1340.0,5122.0,2545.0,32374.0,39293.0,5251.0,8842.0,2576.0,16956.0,22207.0,1141.0,11149.0,-1675.0,0.0,17086.0,39293.0,292.0,371.0,-315.0,56.0,365.0,-123.0,0.0,-13.0,1022.0,1370.0,-355.0,0.0,0.0,0.0,-125.0,-125.0,6.0,-474.0,-126.0,13.0,-113.0,5.0,5.0,-133.0,40.0,-201.0,700.0,14.0,-133.0,1.318,0.517,1.3177,0.341,0.5364,19.7098,7.4841,7.4841,0.0,6.1571,4.6532,0.1438,1.7562,2.9484,30.5255,1.7145,2.4407,0.7431,1.1262,50.1583,4.0152,2.9724,5652.0,4538.0,1114.0,50.0,282.0,0.0,691.0,423.0,-75.0,348.0,56.0,292.0,0.0,292.0,0.0,263.0,794.0,423.0,339.2994,341.6325,0.7801,0.7501,,,,,0.68,1.58,2.3
2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887.0,2374.0,2995.0,953.0,0.0,7209.0,20367.0,1469.0,5363.0,2664.0,33127.0,40336.0,5717.0,8501.0,2799.0,16215.0,21932.0,1178.0,11424.0,-1418.0,0.0,18404.0,40336.0,366.0,361.0,-92.0,269.0,-406.0,-356.0,0.0,-86.0,-871.0,-236.0,-204.0,0.0,-239.0,0.0,-113.0,-113.0,4.0,-552.0,-28.0,129.0,101.0,28.0,28.0,-130.0,126.0,125.0,-656.0,23.0,-130.0,1.261,0.462,1.261,0.316,0.505,20.8627,9.8691,9.8691,0.0,8.476,5.1695,0.1477,1.5743,2.5097,35.861,2.0001,2.8142,0.9099,1.3641,51.9101,-0.6141,-1.145,5958.0,4715.0,1243.0,43.0,245.0,0.0,655.0,588.0,-83.0,505.0,138.0,367.0,0.0,367.0,-1.0,308.0,949.0,588.0,350.6316,384.2949,0.8701,0.8101,,,,,1.98,4.52,6.49
2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260.0,2448.0,3201.0,959.0,0.0,7868.0,20723.0,1596.0,5329.0,2731.0,33598.0,41466.0,5800.0,8773.0,2698.0,16297.0,22097.0,1178.0,11714.0,-858.0,0.0,19369.0,41466.0,377.0,375.0,107.0,482.0,-32.0,-166.0,0.0,-14.0,-61.0,798.0,-271.0,0.0,-1.0,0.0,-81.0,-81.0,3.0,-350.0,187.0,-157.0,30.0,6.0,6.0,-122.0,1.0,-85.0,373.0,22.0,-122.0,1.357,0.453,1.3566,0.3117,0.4826,20.3189,9.5672,9.5672,0.0,7.8512,4.8899,0.1588,1.6392,2.69,33.4579,1.9727,2.7137,0.9188,1.3538,54.6079,2.0615,1.3691,6585.0,5247.0,1338.0,46.0,253.0,0.0,708.0,630.0,-113.0,517.0,136.0,381.0,0.0,381.0,-4.0,322.0,1005.0,630.0,354.6312,388.2945,0.9001,0.8401,,,,,2.39,5.33,7.53
