Date,High,Low,Close,Adj Close,Volume,return_2m,return_3m,return_4m,return_5m,return_6m,return_8m,return_12m,expected_return_50d_US3Y,expected_return_50d_US5Y,expected_return_50d_US7Y,expected_return_50d_US10Y,expected_return_50d_US20Y,expected_return_50d_US30Y,expected_return_70d_US3Y,expected_return_70d_US5Y,expected_return_70d_US7Y,expected_return_70d_US10Y,expected_return_70d_US20Y,expected_return_70d_US30Y,expected_return_100d_US3Y,expected_return_100d_US5Y,expected_return_100d_US7Y,expected_return_100d_US10Y,expected_return_100d_US20Y,expected_return_100d_US30Y,expected_return_120d_US3Y,expected_return_120d_US5Y,expected_return_120d_US7Y,expected_return_120d_US10Y,expected_return_120d_US20Y,expected_return_120d_US30Y,expected_return_150d_US3Y,expected_return_150d_US5Y,expected_return_150d_US7Y,expected_return_150d_US10Y,expected_return_150d_US20Y,expected_return_150d_US30Y,expected_return_180d_US3Y,expected_return_180d_US5Y,expected_return_180d_US7Y,expected_return_180d_US10Y,expected_return_180d_US20Y,expected_return_180d_US30Y,expected_return_200d_US3Y,expected_return_200d_US5Y,expected_return_200d_US7Y,expected_return_200d_US10Y,expected_return_200d_US20Y,expected_return_200d_US30Y,expected_return_220d_US3Y,expected_return_220d_US5Y,expected_return_220d_US7Y,expected_return_220d_US10Y,expected_return_220d_US20Y,expected_return_220d_US30Y,expected_return_250d_US3Y,expected_return_250d_US5Y,expected_return_250d_US7Y,expected_return_250d_US10Y,expected_return_250d_US20Y,expected_return_250d_US30Y,expected_return_280d_US3Y,expected_return_280d_US5Y,expected_return_280d_US7Y,expected_return_280d_US10Y,expected_return_280d_US20Y,expected_return_280d_US30Y,expected_return_300d_US3Y,expected_return_300d_US5Y,expected_return_300d_US7Y,expected_return_300d_US10Y,expected_return_300d_US20Y,expected_return_300d_US30Y,expected_return_320d_US3Y,expected_return_320d_US5Y,expected_return_320d_US7Y,expected_return_320d_US10Y,expected_return_320d_US20Y,expected_return_320d_US30Y,expected_return_350d_US3Y,expected_return_350d_US5Y,expected_return_350d_US7Y,expected_return_350d_US10Y,expected_return_350d_US20Y,expected_return_350d_US30Y,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio_x,Debt to Equity ratio,Current Ratio_y,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Price/Earnings,Price/Book,Price/FCF,Price/Sales,Return on Assets,Return on Equity,Return on Tangible Equity
2009-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.7,413.5,643.2,0.0,100.8,1594.5,479.5,0.0,1359.6,39.9,1905.3,3499.8,746.0,660.6,57.3,942.2,1688.2,23.4,2109.6,-73.0,0.0,1811.6,3499.8,354.8,40.1,13.7,53.8,0.0,0.0,0.0,-65.7,-65.7,342.9,-37.1,14.3,0.0,0.0,0.0,0.0,0.0,-22.8,246.2,-179.7,66.5,-28.4,-28.4,-125.6,2.5,-85.0,215.8,6.2,-125.6,2.137,0.365,2.1374,0.2672,0.5839,62.5591,29.9122,29.9122,0.0,28.5449,20.8305,0.1693,0.3448,1.4326,62.8207,6.8117,27.3009,3.5259,4.9915,3.2107,0.6042,0.5388,592.4,221.8,370.6,0.0,200.1,8.0,193.4,177.2,-8.1,169.1,45.7,123.4,0.0,123.4,0.0,123.4,190.7,177.2,564.54,567.5175,0.2187,0.216,,,,,,,
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.0,367.0,652.0,0.0,215.0,1574.0,483.0,0.0,1361.0,46.0,1901.0,3475.0,836.0,509.0,59.0,823.0,1659.0,24.0,2189.0,-123.0,-10.0,1816.0,3475.0,80.2,14.9,7.3,22.2,33.0,-34.0,0.0,50.7,45.7,148.1,-11.9,-2.3,0.0,0.0,0.0,0.0,0.0,-14.2,-1.2,-69.3,-70.5,-16.6,-16.6,-43.4,-0.5,-131.0,5.2,0.8,-43.4,1.883,0.28,1.8828,0.2189,0.5501,66.8467,22.6299,22.6299,0.0,21.233,14.9376,0.1545,0.273,1.4629,61.5198,4.4163,17.6264,2.3079,3.4495,3.2257,0.2607,0.2398,536.9,178.0,358.9,0.0,239.7,3.4,237.4,121.5,-7.5,114.0,33.8,80.2,0.0,80.2,0.0,80.2,136.4,121.5,564.195,567.6713,0.1387,0.144,,,,,,,
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.5,392.6,685.4,0.0,49.2,1540.0,479.7,0.0,1365.5,47.6,1904.2,3444.2,811.1,509.1,52.5,830.1,1641.2,23.4,2224.6,-132.7,0.0,1803.0,3444.2,121.4,14.4,-3.0,11.4,0.0,0.0,0.0,-15.0,-15.0,117.8,-6.8,-1.2,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-84.1,-84.1,-51.3,-51.3,-43.2,0.9,-177.7,-53.6,1.9,-43.2,1.899,0.282,1.8987,0.2202,0.5077,66.5908,33.637,33.637,0.0,32.3931,21.2684,0.1657,0.2782,1.4539,61.9026,6.7332,27.7486,3.5248,5.2506,3.2271,0.209,0.197,570.8,190.7,380.1,0.0,193.2,6.4,188.1,192.0,-7.1,184.9,63.5,121.4,0.0,121.4,0.0,121.4,206.4,192.0,561.015,563.5162,0.216,0.216,,,,,,,
2009-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.3,519.1,690.2,0.0,61.4,1684.4,473.9,0.0,1371.1,45.5,1900.6,3585.0,869.8,508.5,58.1,841.0,1710.8,23.4,2372.0,-122.8,0.0,1874.2,3585.0,147.2,14.2,14.7,28.9,0.0,0.0,0.0,-88.2,-88.2,87.9,-5.6,-0.6,0.0,0.0,0.0,0.0,0.0,-6.2,-1.6,49.4,47.8,-89.1,-89.1,-42.6,1.0,-82.9,2.8,2.0,-42.6,1.937,0.271,1.9365,0.2134,0.5139,63.3944,32.2839,32.2839,0.0,31.225,21.079,0.1949,0.3706,1.3462,66.856,7.8594,29.2785,4.1088,6.1821,3.396,0.1599,0.1497,698.8,255.8,443.0,0.0,217.2,1.1,217.4,225.6,-7.4,218.2,70.9,147.3,0.0,147.3,0.0,147.3,239.8,225.6,554.97,557.6025,0.264,0.264,11.95,2.96,8.92,2.36,13.45,25.79,101.95
2010-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.7,454.0,658.3,0.0,90.1,1548.4,464.2,0.0,1350.5,45.2,1869.9,3418.3,684.0,508.3,63.0,852.4999,1536.5,23.4,2391.8,-117.1,0.0,1881.8,3418.3,107.9,15.2,38.2,53.4,0.0,0.0,0.0,57.5,57.5,218.8,-4.8,-0.4,0.0,0.0,0.0,0.0,0.0,-5.2,-0.1,-196.6,-196.7,-20.9,-20.9,-44.0,1.1,-260.5,-47.6,1.9,-44.0,2.264,0.27,2.2637,0.2127,0.4074,64.465,27.2827,27.2827,0.0,26.1688,16.9281,0.1865,0.3441,1.404,64.1042,5.7339,20.3087,3.1565,4.5145,3.4164,0.3983,0.3895,637.4,226.5,410.9,0.0,223.5,-12.2,237.0,173.9,-7.1,166.8,58.9,107.9,0.0,107.9,0.0,107.9,189.1,173.9,550.3425,553.2825,0.1947,0.1947,12.97,3.11,10.88,2.43,13.1,24.73,94.65
2010-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,418.0,651.0,0.0,184.0,1527.0,468.0,0.0,1335.0,42.0,1856.0,3383.0,546.0,508.0,69.0,942.0,1488.0,24.0,2464.0,-187.0,11.0,1895.0,3383.0,72.5,15.2,-19.9,-4.7,-35.0,21.0,0.0,82.7,52.7,120.5,-14.8,-0.8,0.0,0.0,0.0,0.0,0.0,-15.6,-151.3,82.3,-69.0,-2.7,-2.7,-44.2,0.0,-115.9,-9.6,2.2,-44.2,2.797,0.268,2.7967,0.2114,0.3689,67.0818,21.0854,21.0854,0.0,19.9466,12.8826,0.1661,0.2842,1.3445,66.9395,3.8206,12.9286,2.1401,3.0129,3.4385,0.211,0.1845,562.0001,185.0,377.0,0.0,255.1,-2.3,258.5001,118.5,-6.4,112.1,39.7,72.4,0.0,72.4,0.0,72.4,133.7,118.5,554.3775,557.1563,0.1333,0.1307,15.02,3.52,13.14,2.74,12.96,24.04,88.19
2010-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.8,411.6,671.9,0.0,163.8,1544.5,451.8,0.0,1332.7,41.9,1837.4,3381.9,607.7,508.8,58.9,907.3,1515.0,23.4,2487.9,-184.9,0.0,1866.9,3381.9,111.4,14.5,0.7,15.2,0.0,0.0,0.0,-30.0,-30.0,96.6,4.1,-0.6,0.0,0.0,0.0,0.0,0.0,3.5,0.0,21.3,21.3,-49.6,-49.6,-44.0,4.9,-67.4,29.2,1.7,-44.0,2.542,0.273,2.5416,0.2142,0.3859,66.5262,30.3302,30.3302,0.0,29.2413,19.5645,0.1684,0.2837,1.3834,65.058,5.9671,20.8536,3.294,4.6891,3.4045,0.1748,0.1822,569.4,190.6,378.8,0.0,208.2,3.4,206.1,172.7,-6.2,166.5,55.1,111.4,0.0,111.4,0.0,111.4,187.2,172.7,549.6375,552.6937,0.2027,0.2027,16.68,3.88,14.59,2.98,12.73,23.3,82.33
2010-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.7,544.0,698.9,0.0,164.4,1603.7,449.5,0.0,1338.7,36.5,1836.4,3440.1,542.5,508.5,63.6,922.2,1464.7,23.4,2641.9,-173.7,0.0,1975.4,3440.1,154.0,14.2,11.9,26.1,0.0,0.0,0.0,-98.9,-98.9,81.2,-7.1,-0.7,0.0,0.0,0.0,0.0,0.0,-7.8,-1.4,-79.6,-81.0,-60.3,-60.3,-43.9,1.4,-183.8,-105.1,2.2,-43.9,2.956,0.257,2.9561,0.2047,0.3243,65.693,33.6483,33.6483,0.0,32.7749,22.0504,0.203,0.3428,1.2838,70.1031,7.7959,24.1872,4.4766,6.1999,3.6254,0.1488,0.136,698.4,239.6,458.8,0.0,226.4,3.9,223.8,235.0,-6.1,228.9,74.9,154.0,0.0,154.0,0.0,154.0,249.2,235.0,546.1838,549.39,0.2827,0.28,15.81,3.52,14.32,2.87,13.07,23.36,78.69
2011-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.6,530.3,677.0,0.0,167.2,1686.7,450.4,0.0,1335.1,39.2,1836.2,3522.9,437.6,756.7,66.4,1211.6,1649.2,23.4,2544.6,-167.6,0.0,1873.7,3522.9,140.7,14.2,57.4,71.6,0.0,0.0,0.0,9.4,9.4,221.7,-11.4,-1.1,0.0,0.0,0.0,0.0,0.0,-12.5,247.7,-129.0,118.7,-14.8,-14.8,-191.6,0.5,-87.2,122.9,2.1,-191.6,3.854,0.404,3.8544,0.2877,0.4055,65.4661,31.8503,31.8503,0.0,30.8757,19.8729,0.201,0.3612,1.3351,67.411,7.5092,26.1233,3.9939,5.349,3.4415,0.4059,0.385,708.0,244.5,463.5,0.0,239.1,2.4,238.0,225.5,-6.9,218.6,77.9,140.7,0.0,140.7,0.0,140.7,239.7,225.5,543.9788,547.65,0.2587,0.256,16.34,4.13,16.01,3.09,13.93,25.12,84.23
2011-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.0,496.0,647.0,0.0,218.0,1976.0,393.0,0.0,1295.0,36.0,1736.0,3712.0,707.0,504.0,88.0,945.0,1652.0,24.0,2710.0,-179.0,48.0,2060.0,3712.0,165.9,13.1,-74.0,-60.9,-57.0,-42.0,0.0,93.5,22.5,127.5,-12.6,-1.6,234.0,0.0,0.0,0.0,0.0,219.8,-1.3,-0.7,-2.0,-18.3,-18.3,-46.5,-0.8,-67.6,288.0,3.0,-46.5,2.795,0.245,2.7949,0.1966,0.3684,69.3052,36.3487,36.3487,0.0,35.2344,27.0239,0.1644,0.2895,1.2302,73.1563,8.0534,21.6863,4.4693,6.4704,3.7888,0.2297,0.2068,610.2,187.3,422.8999,0.0,266.3,66.3,201.1,221.8,-6.8,215.0,49.1,165.9,0.0,165.9,0.0,164.9,234.9,221.8,546.0125,549.425,0.3,0.3013,14.87,4.08,16.99,3.29,16.25,29.37,92.28
