Date,High,Low,Close,Adj Close,Volume,return_2m,return_3m,return_4m,return_5m,return_6m,return_8m,return_12m,expected_return_50d_US3Y,expected_return_50d_US5Y,expected_return_50d_US7Y,expected_return_50d_US10Y,expected_return_50d_US20Y,expected_return_50d_US30Y,expected_return_70d_US3Y,expected_return_70d_US5Y,expected_return_70d_US7Y,expected_return_70d_US10Y,expected_return_70d_US20Y,expected_return_70d_US30Y,expected_return_100d_US3Y,expected_return_100d_US5Y,expected_return_100d_US7Y,expected_return_100d_US10Y,expected_return_100d_US20Y,expected_return_100d_US30Y,expected_return_120d_US3Y,expected_return_120d_US5Y,expected_return_120d_US7Y,expected_return_120d_US10Y,expected_return_120d_US20Y,expected_return_120d_US30Y,expected_return_150d_US3Y,expected_return_150d_US5Y,expected_return_150d_US7Y,expected_return_150d_US10Y,expected_return_150d_US20Y,expected_return_150d_US30Y,expected_return_180d_US3Y,expected_return_180d_US5Y,expected_return_180d_US7Y,expected_return_180d_US10Y,expected_return_180d_US20Y,expected_return_180d_US30Y,expected_return_200d_US3Y,expected_return_200d_US5Y,expected_return_200d_US7Y,expected_return_200d_US10Y,expected_return_200d_US20Y,expected_return_200d_US30Y,expected_return_220d_US3Y,expected_return_220d_US5Y,expected_return_220d_US7Y,expected_return_220d_US10Y,expected_return_220d_US20Y,expected_return_220d_US30Y,expected_return_250d_US3Y,expected_return_250d_US5Y,expected_return_250d_US7Y,expected_return_250d_US10Y,expected_return_250d_US20Y,expected_return_250d_US30Y,expected_return_280d_US3Y,expected_return_280d_US5Y,expected_return_280d_US7Y,expected_return_280d_US10Y,expected_return_280d_US20Y,expected_return_280d_US30Y,expected_return_300d_US3Y,expected_return_300d_US5Y,expected_return_300d_US7Y,expected_return_300d_US10Y,expected_return_300d_US20Y,expected_return_300d_US30Y,expected_return_320d_US3Y,expected_return_320d_US5Y,expected_return_320d_US7Y,expected_return_320d_US10Y,expected_return_320d_US20Y,expected_return_320d_US30Y,expected_return_350d_US3Y,expected_return_350d_US5Y,expected_return_350d_US7Y,expected_return_350d_US10Y,expected_return_350d_US20Y,expected_return_350d_US30Y,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio_x,Debt to Equity ratio,Current Ratio_y,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Price/Earnings,Price/Book,Price/FCF,Price/Sales,Return on Assets,Return on Equity,Return on Tangible Equity
2011-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.5,523.3,685.5,0.0,201.9,2011.6,388.0,0.0,1297.7,40.5,1737.6,3749.2,766.9,505.1,77.2,912.1,1679.0,23.4,2735.4,-132.0,0.0,2070.2,3749.2,118.1,13.0,-0.6,12.4,0.0,0.0,0.0,-66.5,-66.5,64.0,-6.2,-7.5,0.0,0.0,0.0,0.0,0.0,-13.7,-0.8,1.9,1.1,-20.2,-20.2,-46.4,4.4,-61.1,-14.6,2.2,-46.4,2.623,0.244,2.623,0.1961,0.3678,65.8984,29.1471,29.1471,0.0,28.0339,18.5168,0.1701,0.3173,1.2188,73.8429,5.7048,15.288,3.15,4.5859,3.8129,0.117,0.1057,637.8,217.5,420.3,0.0,229.8,-3.3,234.4,185.9,-7.1,178.8,60.7,118.1,0.0,118.1,0.0,118.1,198.9,185.9,543.105,547.0025,0.216,0.216,15.1,4.17,19.08,3.29,16.03,28.98,85.19
2011-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.1,641.9,694.5,0.0,187.2,1945.6,383.0,0.0,1293.9,40.7,1728.0,3673.6,752.7,504.2,77.0,914.7,1667.4,23.4,2893.2,-158.4,0.0,2006.2,3673.6,157.5,12.8,21.6,34.4,0.0,0.0,0.0,-100.4,-100.4,91.5,-12.6,-0.4,0.0,0.0,0.0,0.0,0.0,-13.0,-0.7,0.7,0.0,-197.9,-197.9,-46.0,0.4,-243.5,-172.4,2.1,-46.0,2.585,0.251,2.5848,0.2008,0.3789,64.2555,31.5325,31.5325,0.0,30.6235,20.1639,0.2126,0.402,1.2169,73.9611,7.8556,22.1255,4.2901,6.2779,3.7689,0.1706,0.1471,781.1,279.2,501.9,0.0,253.5,-0.8,255.6,246.3,-7.1,239.2,81.6,157.6,0.0,157.6,0.0,157.5,259.1,246.3,537.0325,540.69,0.292,0.292,15.23,4.31,19.21,3.24,15.88,29.06,83.47
2012-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.9,568.7,684.2,0.0,181.1,1953.1,385.3,0.0,1284.3,43.8,1723.3,3676.4,725.6,503.5,65.7,916.1,1641.7,23.4,2927.0,-160.9,0.0,2034.7,3676.4,133.1,11.9,21.5,33.4,0.0,0.0,0.0,19.7,19.7,186.2,-12.3,-1.9,0.0,0.0,0.0,0.0,0.0,-14.2,-0.6,2.4,1.8,-8.1,-8.1,-49.6,3.1,-52.8,114.8,2.2,-49.6,2.692,0.247,2.6917,0.1984,0.3743,64.2674,29.39,29.39,0.0,28.3495,18.9709,0.1908,0.3664,1.2337,72.9518,6.5415,17.7372,3.6204,5.2439,3.8207,0.3496,0.3264,701.6,250.7,450.9,0.0,246.8,2.9,244.7,206.2,-7.3,198.9,65.8,133.1,0.0,133.1,0.0,133.1,218.0999,206.2,532.2275,536.2475,0.252,0.248,16.75,4.64,22.54,3.52,15.5,28.1,76.53
2012-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.0,475.0,712.0,0.0,188.0,1749.0,399.0,0.0,1285.0,38.0,1728.0,3477.0,404.0,503.0,65.0,1004.0,1408.0,24.0,3031.0,-223.0,-7.0,2069.0,3477.0,104.3,11.3,20.5,31.8,2.0,-88.0,0.0,118.2,38.2,174.3,-26.9,-0.2,0.0,0.0,0.0,0.0,0.0,-27.1,-249.9,-1.0,-250.9,-3.8,-3.8,-50.0,0.1,-304.6,-156.8,2.5,-50.0,4.329,0.243,4.3292,0.1956,0.2465,70.0249,24.8299,24.8299,0.0,23.751,17.3112,0.1733,0.2537,1.2684,70.9544,5.0363,13.2908,2.9968,4.0513,5.8251,0.318,0.2686,602.5001,180.6,421.9001,0.0,274.9,2.2,272.3,149.6001,-6.5,143.1,38.9,104.2,0.0,104.2,0.0,104.3,160.9001,149.6001,536.3225,540.2075,0.196,0.192,19.95,3.25,22.31,3.75,14.08,25.09,67.97
2012-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.5,524.9,764.4,0.0,177.5,1849.5,404.6,0.0,1276.9,41.6,1733.5,3583.0,476.3,502.1,53.4,984.7001,1461.0,34.1,3057.0,-211.3,-20.2,2122.0,3583.0,147.0,12.0,30.0,42.0,0.0,0.0,0.0,-102.0,-102.0,87.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,-1.0,2.0,1.0,-4.0,-4.0,-50.0,8.0,-45.0,23.0,2.0,-50.0,3.883,0.237,3.8831,0.1913,0.241,69.6697,33.3333,33.3333,0.0,32.5826,22.0721,0.1859,0.2643,1.2688,70.9324,6.9274,17.3944,4.1027,5.6019,3.9794,0.162,0.1304,666.0,202.0,464.0,0.0,240.0,-2.0,242.0,222.0,-5.0,217.0,70.0,147.0,0.0,147.0,0.0,147.0,234.0,222.0,532.92,536.995,0.276,0.276,20.42,5.17,23.59,4.03,15.05,26.34,70.14
2012-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.5,681.5,797.5,0.0,188.3,2055.0,415.9,0.0,1283.4,38.7,1748.9,3803.9,505.9,501.4,63.5,993.2,1499.1,34.1,3207.8,-223.0,0.0,2304.8,3803.9,173.0,12.0,17.0,29.0,0.0,0.0,0.0,-124.0,-124.0,78.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,0.0,2.0,2.0,-6.0,-6.0,-50.0,5.0,-49.0,8.0,3.0,-50.0,4.062,0.218,4.0621,0.1787,0.2221,67.5676,33.7194,33.7194,0.0,33.2046,22.2651,0.2043,0.316,1.1401,78.9382,7.5061,16.9375,4.548,6.1649,4.3193,0.1451,0.1041,777.0,252.0,525.0,0.0,266.0,3.0,263.0,262.0,-4.0,258.0,85.0,173.0,0.0,173.0,0.0,173.0,274.0,262.0,533.19,537.2275,0.324,0.32,20.48,4.91,25.57,4.14,15.32,26.12,65.53
2013-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.8,633.8,801.9,0.0,188.1,2046.4,426.6,0.0,1288.8,58.8,1785.9,3832.3,807.3,996.6,69.9,1506.2,2313.5,34.1,2391.9,-212.7,6.3,1518.8,3832.3,158.0,12.0,-11.0,1.0,0.0,0.0,0.0,43.0,43.0,202.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,746.0,2.0,748.0,-5.0,-5.0,-908.0,-2.0,-167.0,18.0,2.0,-908.0,2.535,0.656,2.5349,0.3962,0.8302,67.8715,31.7269,31.7269,0.0,30.656,21.0174,0.1949,0.2993,1.1786,76.3614,10.3371,68.2609,4.0968,6.2416,2.844,0.3755,0.3384,747.0,240.0,507.0,0.0,273.0,3.0,270.0,237.0,-8.0,229.0,72.0,157.0,0.0,157.0,0.0,157.0,249.0,237.0,533.6475,537.6275,0.296,0.292,21.13,8.02,27.11,4.39,15.81,29.0,80.69
2013-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,548.0,827.0,0.0,213.0,1821.0,450.0,0.0,1285.0,56.0,1805.0,3626.0,473.0,997.0,68.0,1525.0,1998.0,34.0,2500.0,-211.0,0.0,1628.0,3626.0,113.0,15.0,3.0,18.0,-65.0,-105.0,0.0,134.0,39.0,170.0,-36.0,-2.0,0.0,0.0,0.0,0.0,0.0,-38.0,-251.0,-7.0,-258.0,-1.0,-1.0,-55.0,-1.0,-315.0,-183.0,4.0,-55.0,3.85,0.612,3.8499,0.3798,0.6155,69.651,26.8589,26.8589,0.0,24.431,17.2989,0.1817,0.2418,1.2026,74.8407,7.0025,33.2362,3.144,4.3429,3.0472,0.3165,0.2495,659.0,200.0,459.0,0.0,279.0,-3.0,282.0,177.0,-16.0,161.0,47.0,114.0,0.0,114.0,0.0,114.0,192.0,177.0,533.4225,537.465,0.212,0.212,22.69,8.19,30.34,4.7,15.92,31.21,96.92
2013-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,542.0,874.0,0.0,211.0,1861.0,459.0,0.0,1287.0,66.0,1825.0,3686.0,515.0,997.0,57.0,1505.0,2020.0,34.0,2527.0,-212.0,0.0,1666.0,3686.0,143.0,12.0,15.0,27.0,0.0,0.0,0.0,-77.0,-77.0,93.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-1.0,2.0,1.0,-4.0,-4.0,-54.0,6.0,-51.0,13.0,3.0,-54.0,3.614,0.598,3.6136,0.3744,0.602,69.5335,31.6327,31.6327,0.0,30.758,20.8455,0.1861,0.2391,1.2657,71.1079,8.5834,37.7309,3.8795,5.3699,3.1169,0.1728,0.1263,686.0,209.0,477.0,0.0,259.0,-1.0,260.0,217.0,-6.0,211.0,68.0,143.0,0.0,143.0,0.0,143.0,229.0,217.0,534.2725,538.3,0.268,0.264,23.68,8.27,31.48,4.82,15.71,32.99,119.01
2013-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,729.0,901.0,0.0,167.0,2033.0,483.0,0.0,1291.0,62.0,1849.0,3882.0,542.0,997.0,64.0,1502.0,2044.0,34.0,2729.0,-201.0,0.0,1838.0,3882.0,206.0,12.0,-15.0,-3.0,0.0,0.0,0.0,-95.0,-95.0,108.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,0.0,1.0,1.0,-51.0,-51.0,-55.0,3.0,-102.0,-25.0,3.0,-55.0,3.751,0.542,3.7509,0.3517,0.5462,69.1477,37.3349,37.3349,0.0,36.6146,24.7299,0.2146,0.2852,1.1427,78.7635,11.2078,37.66,5.3065,7.2663,3.4487,0.2008,0.1358,833.0,257.0,576.0,0.0,273.0,8.0,265.0,311.0,-6.0,305.0,99.0,206.0,0.0,206.0,0.0,206.0,323.0,311.0,533.9675,538.01,0.388,0.384,22.59,7.55,30.62,4.78,16.5,37.29,165.44
2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.0,679.0,873.0,0.0,208.0,2103.0,497.0,0.0,1289.0,88.0,1890.0,3993.0,604.0,997.0,161.0,1500.0,2104.0,34.0,2777.0,-203.0,0.0,1889.0,3993.0,177.0,12.0,-13.0,-1.0,0.0,0.0,0.0,13.0,13.0,189.0,-27.0,-2.0,0.0,0.0,0.0,0.0,0.0,-29.0,-1.0,5.0,4.0,-3.0,-3.0,-62.0,0.0,-61.0,95.0,3.0,-62.0,3.482,0.528,3.4818,0.3455,0.5326,68.0307,32.6087,32.6087,0.0,31.8414,22.6343,0.1958,0.2864,1.1517,78.1458,9.37,29.5,4.4328,6.1331,3.5429,0.3527,0.3022,782.0,250.0,532.0,0.0,277.0,0.0,277.0,255.0,-6.0,249.0,72.0,177.0,0.0,177.0,0.0,177.0,267.0,255.0,532.8775,536.98,0.332,0.328,23.21,7.78,33.88,5.0,16.86,36.46,136.97
2014-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.0,569.0,882.0,0.0,256.0,2177.0,526.0,0.0,1297.0,85.0,1926.0,4103.0,561.0,997.0,167.0,1510.0,2071.0,34.0,2894.0,-188.0,0.0,2032.0,4103.0,133.0,14.0,22.0,36.0,-34.0,-67.0,0.0,100.0,90.0,259.0,-37.0,-1.0,0.0,0.0,0.0,0.0,0.0,-38.0,0.0,-3.0,-3.0,-10.0,-10.0,-62.0,1.0,-74.0,150.0,4.0,-62.0,3.881,0.491,3.8806,0.3292,0.4946,71.4493,27.2464,27.2464,0.0,26.3768,19.2754,0.1682,0.2234,1.2127,74.2174,6.5453,18.0952,3.2415,4.3909,3.8078,0.4807,0.4121,690.0,197.0,493.0,0.0,313.0,8.0,305.0,188.0,-6.0,182.0,49.0,133.0,0.0,133.0,0.0,133.0,202.0,188.0,533.635,537.705,0.244,0.248,26.33,8.46,33.01,5.8,16.83,35.5,116.59
2014-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,547.0,949.0,0.0,280.0,2259.0,538.0,0.0,1284.0,92.0,1932.0,4191.0,637.0,998.0,154.0,1500.0,2137.0,34.0,2908.0,-195.0,0.0,2054.0,4191.0,150.0,13.0,4.0,17.0,0.0,0.0,0.0,-55.0,-55.0,112.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.0,0.0,5.0,5.0,-16.0,-16.0,-62.0,16.0,-57.0,23.0,3.0,-62.0,3.546,0.486,3.5463,0.327,0.4922,70.2128,31.3475,31.3475,0.0,30.3546,21.2766,0.1682,0.2213,1.2888,69.8298,7.3028,19.4805,3.5791,4.9148,3.8483,0.2084,0.1507,705.0,210.0,495.0,0.0,269.0,-5.0,274.0,221.0,-7.0,214.0,64.0,150.0,0.0,150.0,0.0,150.0,234.0,221.0,533.61,537.5475,0.28,0.28,25.18,8.11,31.2,5.58,16.48,34.1,100.45
2014-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,761.0,971.0,0.0,307.0,2299.0,556.0,0.0,1265.0,106.0,1944.0,4243.0,678.0,998.0,153.0,1490.0,2168.0,34.0,3114.0,-191.0,0.0,2075.0,4243.0,208.0,12.0,-16.0,-4.0,0.0,0.0,0.0,-246.0,-246.0,-42.0,-28.0,-4.0,0.0,0.0,0.0,0.0,0.0,-32.0,0.0,112.0,112.0,-195.0,-195.0,-62.0,1.0,-144.0,-225.0,3.0,-62.0,3.391,0.481,3.3909,0.3248,0.5407,69.4413,34.5496,34.5496,0.0,33.7514,23.7172,0.2067,0.276,1.1524,78.0958,10.0241,25.679,4.9022,6.7686,3.9259,-0.0773,-0.1301,877.0,268.0,609.0,0.0,301.0,-5.0,306.0,303.0,-7.0,296.0,88.0,208.0,0.0,208.0,0.0,208.0,315.0,303.0,530.2175,533.9225,0.392,0.388,26.93,8.53,45.58,5.89,16.16,33.19,91.66
2015-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,631.0,920.0,0.0,398.0,2209.0,567.0,0.0,1226.0,143.0,1952.0,4161.0,860.0,748.0,154.0,1260.0,2120.0,34.0,3166.0,-215.0,0.0,2041.0,4161.0,185.0,13.0,13.0,26.0,0.0,0.0,0.0,94.0,94.0,305.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.0,0.0,-116.0,-116.0,-67.0,-67.0,-66.0,1.0,-248.0,15.0,3.0,-66.0,2.569,0.366,2.5686,0.2682,0.4929,68.0197,33.4563,33.4563,0.0,32.7183,22.8782,0.1954,0.2826,1.2884,69.8524,9.1132,22.8221,4.4701,6.6691,3.8743,0.5744,0.5118,813.0,260.0,553.0,0.0,275.0,-6.0,281.0,272.0,-6.0,266.0,80.0,186.0,0.0,186.0,0.0,186.0,285.0,272.0,527.815,531.515,0.352,0.348,25.5,8.32,34.12,5.6,16.22,33.02,86.52
2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,583.0,953.0,0.0,332.0,2254.0,586.0,0.0,1218.0,112.0,1934.0,4188.0,958.0,743.0,164.0,1325.0,2283.0,34.0,3300.0,-300.0,0.0,1905.0,4188.0,141.0,13.0,29.0,42.0,-50.0,-102.0,0.0,196.0,50.0,233.0,-28.0,-1.0,0.0,0.0,0.0,0.0,0.0,-29.0,0.0,182.0,182.0,-198.0,-198.0,-66.0,0.0,-82.0,120.0,6.0,-66.0,2.353,0.39,2.3528,0.2806,0.621,71.1773,31.2585,31.2585,0.0,30.5819,18.9445,0.1765,0.2235,1.2676,71.0014,7.3491,20.3785,3.3429,5.287,3.6512,0.4358,0.3837,739.0,213.0,526.0,0.0,289.0,-6.0,295.0,231.0,-5.0,226.0,86.0,140.0,0.0,140.0,0.0,140.0,244.0,231.0,528.9813,532.7062,0.272,0.264,25.66,8.99,35.85,5.59,16.3,33.88,88.77
2015-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.0,505.0,1035.0,0.0,328.0,2371.0,608.0,0.0,1210.0,127.0,1963.0,4334.0,833.0,1229.0,149.0,1794.0,2627.0,34.0,3309.0,-304.0,0.0,1707.0,4334.0,156.0,13.0,5.0,18.0,0.0,0.0,0.0,-27.0,-27.0,147.0,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.0,490.0,-176.0,314.0,-235.0,-235.0,-65.0,7.0,21.0,124.0,3.0,-65.0,2.846,0.72,2.8463,0.4186,0.874,70.2432,32.475,32.475,0.0,31.1874,22.3176,0.1613,0.201,1.3842,65.0215,9.1388,31.3883,3.5994,5.3134,3.3067,0.2818,0.2071,699.0,208.0,491.0,0.0,264.0,0.0,264.0,227.0,-9.0,218.0,62.0,156.0,0.0,156.0,0.0,156.0,240.0,227.0,518.1575,521.595,0.304,0.296,30.55,11.97,40.71,6.71,16.31,35.71,98.26
2015-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,727.0,1067.0,0.0,341.0,2348.0,619.0,0.0,1214.0,121.0,1971.0,4319.0,1130.0,1229.0,143.0,1788.0,2918.0,34.0,3508.0,-306.0,0.0,1401.0,4319.0,200.0,14.0,-5.0,9.0,0.0,0.0,0.0,-195.0,-195.0,14.0,-26.0,-1.0,0.0,0.0,0.0,0.0,0.0,-27.0,0.0,289.0,289.0,-510.0,-510.0,-65.0,1.0,-285.0,-299.0,5.0,-65.0,2.078,0.877,2.0779,0.4673,1.2719,68.6183,35.363,35.363,0.0,33.9578,23.4192,0.1977,0.2512,1.1747,76.6159,14.2755,106.9519,4.6307,7.6046,2.7833,0.0317,-0.0202,854.0,268.0,586.0,0.0,286.0,2.0,284.0,302.0,-12.0,290.0,90.0,200.0,0.0,200.0,0.0,200.0,316.0,302.0,510.1375,513.5762,0.392,0.392,29.92,13.98,35.94,6.57,16.05,38.67,124.79
2016-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.0,630.0,1031.0,0.0,416.0,2405.0,621.0,0.0,1171.0,122.0,1928.0,4333.0,1100.0,1229.0,144.0,1816.0,2916.0,34.0,3561.0,-323.0,0.0,1417.0,4333.0,189.0,13.0,24.0,37.0,0.0,0.0,0.0,61.0,61.0,287.0,-23.0,-1.0,0.0,0.0,0.0,0.0,0.0,-24.0,-250.0,206.0,-44.0,-25.0,-25.0,-69.0,2.0,-136.0,122.0,4.0,-69.0,2.186,0.867,2.1864,0.4645,1.2265,68.6032,34.3634,34.3634,0.0,32.8801,23.4858,0.1867,0.2464,1.2841,70.0865,13.4086,77.2358,4.385,7.1807,2.8178,0.5719,0.5246,809.0,254.0,555.0,0.0,274.0,-3.0,277.0,278.0,-12.0,266.0,76.0,190.0,0.0,190.0,0.0,190.0,291.0,278.0,502.9562,505.9763,0.376,0.376,27.08,12.76,32.84,6.0,15.98,42.67,169.7
2016-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.0,559.0,1054.0,0.0,357.0,2233.0,629.0,0.0,1185.0,119.0,1950.0,4183.0,791.0,1230.0,146.0,1830.0,2621.0,34.0,4065.0,-350.0,0.0,1562.0,4183.0,522.0,16.0,-482.0,-466.0,8.0,-127.0,0.0,103.0,20.0,76.0,-20.0,0.0,543.0,0.0,0.0,0.0,0.0,523.0,0.0,-239.0,-239.0,-354.0,-354.0,-67.0,0.0,-660.0,-54.0,3.0,-67.0,2.823,0.787,2.823,0.4405,0.9609,70.4264,99.8625,99.8625,0.0,98.3494,71.6644,0.1738,0.204,1.3005,69.2022,33.3547,138.1963,12.4552,18.6605,3.1597,0.1406,0.1031,727.0,215.0,512.0,0.0,-136.0,495.0,-214.0,726.0,-11.0,715.0,194.0,521.0,0.0,521.0,0.0,521.0,742.0,726.0,507.441,510.7,1.028,1.026,17.0,11.24,43.61,5.9,24.86,70.12,326.55
2016-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.0,501.0,1262.0,0.0,339.0,2561.0,645.0,0.0,1405.0,128.0,2194.0,4755.0,874.0,1953.0,132.0,2551.0,3425.0,68.0,4085.0,-402.0,0.0,1330.0,4755.0,144.0,15.0,-7.0,8.0,0.0,0.0,0.0,-24.0,-24.0,128.0,-16.0,-1.0,-307.0,0.0,0.0,0.0,0.0,-324.0,717.0,-43.0,674.0,-204.0,-204.0,-67.0,-5.0,398.0,196.0,4.0,-67.0,2.93,1.468,2.9302,0.5949,1.685,68.5325,32.2239,32.2239,0.0,30.4085,21.7852,0.139,0.1648,1.3194,68.2148,10.8271,-192.0,3.0284,4.3862,2.7177,0.2586,0.2263,661.0,208.0,453.0,0.0,245.0,5.0,240.0,213.0,-12.0,201.0,57.0,144.0,0.0,144.0,0.0,144.0,228.0,213.0,491.2725,495.0113,0.296,0.288,17.46,13.37,43.59,6.04,23.99,73.91,574.15
