Date,High,Low,Close,Volume,return_2m,return_3m,return_4m,return_5m,return_6m,return_8m,return_12m,expected_return_50d_US3Y,expected_return_50d_US5Y,expected_return_50d_US7Y,expected_return_50d_US10Y,expected_return_50d_US20Y,expected_return_50d_US30Y,expected_return_70d_US3Y,expected_return_70d_US5Y,expected_return_70d_US7Y,expected_return_70d_US10Y,expected_return_70d_US20Y,expected_return_70d_US30Y,expected_return_100d_US3Y,expected_return_100d_US5Y,expected_return_100d_US7Y,expected_return_100d_US10Y,expected_return_100d_US20Y,expected_return_100d_US30Y,expected_return_120d_US3Y,expected_return_120d_US5Y,expected_return_120d_US7Y,expected_return_120d_US10Y,expected_return_120d_US20Y,expected_return_120d_US30Y,expected_return_150d_US3Y,expected_return_150d_US5Y,expected_return_150d_US7Y,expected_return_150d_US10Y,expected_return_150d_US20Y,expected_return_150d_US30Y,expected_return_180d_US3Y,expected_return_180d_US5Y,expected_return_180d_US7Y,expected_return_180d_US10Y,expected_return_180d_US20Y,expected_return_180d_US30Y,expected_return_200d_US3Y,expected_return_200d_US5Y,expected_return_200d_US7Y,expected_return_200d_US10Y,expected_return_200d_US20Y,expected_return_200d_US30Y,expected_return_220d_US3Y,expected_return_220d_US5Y,expected_return_220d_US7Y,expected_return_220d_US10Y,expected_return_220d_US20Y,expected_return_220d_US30Y,expected_return_250d_US3Y,expected_return_250d_US5Y,expected_return_250d_US7Y,expected_return_250d_US10Y,expected_return_250d_US20Y,expected_return_250d_US30Y,expected_return_280d_US3Y,expected_return_280d_US5Y,expected_return_280d_US7Y,expected_return_280d_US10Y,expected_return_280d_US20Y,expected_return_280d_US30Y,expected_return_300d_US3Y,expected_return_300d_US5Y,expected_return_300d_US7Y,expected_return_300d_US10Y,expected_return_300d_US20Y,expected_return_300d_US30Y,expected_return_320d_US3Y,expected_return_320d_US5Y,expected_return_320d_US7Y,expected_return_320d_US10Y,expected_return_320d_US20Y,expected_return_320d_US30Y,expected_return_350d_US3Y,expected_return_350d_US5Y,expected_return_350d_US7Y,expected_return_350d_US10Y,expected_return_350d_US20Y,expected_return_350d_US30Y,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio_x,Debt to Equity ratio,Current Ratio_y,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Return on Assets,Return on Equity,Return on Tangible Equity
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.0,616.0,746.0,0.0,117.0,1998.0,3441.0,0.0,800.0,1256.0,6142.0,8140.0,1185.0,2299.0,958.0,4147.0,5332.0,2.0,89.0,-408.0,0.0,2808.0,8140.0,-79.0,111.0,19.0,130.0,0.0,0.0,0.0,40.0,40.0,91.0,-41.0,0.0,0.0,0.0,0.0,0.0,-2.0,-43.0,-1.0,-25.0,-26.0,0.0,0.0,-39.0,-3.0,-68.0,-30.0,0.0,-39.0,1.686,0.819,1.6861,0.4502,0.8529,11.8168,-3.4712,-3.4712,0.0,-6.7208,-5.8346,0.1663,1.6005,2.1981,40.9454,-2.8134,-3.9343,-0.9705,-1.5469,21.0411,0.6819,0.3746,1354.0,1194.0,160.0,0.0,207.0,0.0,207.0,-47.0,-44.0,-91.0,-12.0,-79.0,0.0,-79.0,0.0,-79.0,64.0,-47.0,133.458,133.458,-0.5897,-0.5897,,,
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.0,787.0,783.0,0.0,155.0,2348.0,3447.0,0.0,812.0,1293.0,6274.0,8622.0,1331.0,2291.0,989.0,4219.0,5550.0,2.0,135.0,-197.0,0.0,3072.0,8622.0,125.0,112.0,-32.0,80.0,0.0,0.0,0.0,-30.0,-30.0,175.0,-42.0,0.0,0.0,0.0,0.0,0.0,-22.0,-64.0,-10.0,7.0,-3.0,0.0,0.0,-40.0,3.0,-40.0,104.0,0.0,-40.0,1.764,0.746,1.7641,0.4272,0.7799,16.0615,2.3743,2.3743,0.0,11.7318,8.7291,0.1661,1.5351,1.8196,49.4623,4.069,5.531,1.4498,2.3308,23.0166,1.2905,0.9823,1432.0,1202.0,230.0,0.0,196.0,0.0,196.0,34.0,134.0,168.0,43.0,125.0,0.0,125.0,0.0,125.0,146.0,34.0,133.614,134.862,0.9231,0.9231,,,
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.0,884.0,737.0,0.0,120.0,2506.0,3427.0,0.0,819.0,1285.0,6320.0,8826.0,1286.0,2222.0,1000.0,4211.0,5497.0,2.0,263.0,-73.0,0.0,3329.0,8826.0,128.0,90.0,48.0,138.0,0.0,0.0,0.0,14.0,14.0,280.0,-12.0,0.0,-15.0,0.0,0.0,0.0,-3.0,-30.0,-66.0,-18.0,-84.0,0.0,0.0,-39.0,-4.0,-127.0,142.0,0.0,-39.0,1.949,0.667,1.9487,0.4003,0.6987,20.6349,8.9286,8.9286,0.0,11.6402,8.4656,0.1713,1.6282,1.7104,52.6191,3.6648,4.8606,1.3823,2.1978,24.9381,2.0599,1.9738,1512.0,1200.0,312.0,0.0,177.0,0.0,177.0,135.0,41.0,176.0,54.0,122.0,0.0,122.0,6.0,128.0,225.0,135.0,133.692,135.408,0.9615,0.9487,,,
2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.0,839.0,523.0,0.0,148.0,2530.0,3301.0,0.0,802.0,1255.0,6491.0,9021.0,1245.0,2153.0,1169.0,4353.0,5598.0,2.0,275.0,-1.0,0.0,3423.0,9021.0,51.0,93.0,35.0,128.0,0.0,0.0,0.0,151.0,151.0,330.0,-71.0,0.0,0.0,0.0,0.0,0.0,-1.0,-72.0,-108.0,-20.0,-128.0,3.0,3.0,-39.0,-6.0,-170.0,85.0,0.0,-39.0,2.032,0.629,2.0321,0.3861,0.6328,23.2852,7.491,7.491,0.0,12.5451,4.6029,0.1228,1.6252,1.3206,68.1498,2.1034,2.747,0.7981,1.2912,25.6253,2.452,1.9248,1108.0,850.0,258.0,0.0,175.0,0.0,175.0,83.0,56.0,139.0,67.0,72.0,0.0,72.0,-21.0,51.0,176.0,83.0,133.614,135.096,0.3846,0.3846,2.6,7.12,9.58
2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731.0,765.0,641.0,0.0,155.0,2292.0,3374.0,0.0,809.0,1276.0,6447.0,8739.0,1085.0,2149.0,1132.0,4311.0,5396.0,2.0,260.0,-45.0,0.0,3343.0,8739.0,24.0,96.0,-62.0,34.0,0.0,0.0,0.0,-66.0,-66.0,-8.0,-34.0,0.0,0.0,0.0,0.0,0.0,10.0,-24.0,-16.0,13.0,-3.0,-24.0,-24.0,-39.0,-1.0,-67.0,-119.0,0.0,-39.0,2.112,0.643,2.1124,0.3913,0.6476,18.3043,5.309,5.309,0.0,2.2187,1.9017,0.1444,1.6084,1.6497,54.5563,0.8675,1.1444,0.3318,0.528,25.0903,-0.059,-0.3096,1262.0,1031.0,231.0,0.0,164.0,0.0,164.0,67.0,-39.0,28.0,-1.0,29.0,0.0,29.0,-5.0,24.0,163.0,67.0,133.692,135.642,0.1795,0.1795,3.73,9.96,13.22
2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.0,866.0,690.0,0.0,161.0,2376.0,3291.0,0.0,798.0,1246.0,6237.0,8613.0,1206.0,2136.0,1131.0,4252.0,5458.0,2.0,231.0,-211.0,0.0,3155.0,8613.0,52.0,99.0,-27.0,72.0,0.0,0.0,0.0,-54.0,-54.0,70.0,-29.0,0.0,0.0,0.0,0.0,0.0,-20.0,-49.0,-16.0,-8.0,-24.0,-3.0,-3.0,-40.0,1.0,-66.0,-72.0,0.0,-40.0,1.97,0.677,1.9701,0.4037,0.6818,20.9937,9.1673,9.1673,0.0,6.2281,3.499,0.1659,1.6362,1.6501,54.5416,1.8384,2.4608,0.6734,1.0962,23.6804,0.5174,0.3022,1429.0,1129.0,300.0,0.0,169.0,0.0,169.0,131.0,-42.0,89.0,31.0,58.0,0.0,58.0,-6.0,50.0,230.0,131.0,133.38,135.252,0.3718,0.3718,2.88,7.64,10.1
2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.0,831.0,687.0,0.0,141.0,2433.0,3242.0,0.0,802.0,1207.0,6215.0,8648.0,1168.0,2038.0,1234.0,4235.0,5403.0,2.0,215.0,-56.0,0.0,3245.0,8648.0,-14.0,97.0,186.0,283.0,0.0,0.0,0.0,-4.0,-4.0,265.0,-47.0,0.0,0.0,0.0,0.0,0.0,53.0,6.0,-96.0,2.0,-94.0,-59.0,-59.0,-39.0,-2.0,-194.0,115.0,0.0,-39.0,2.083,0.628,2.083,0.3858,0.633,23.2048,10.3723,10.3723,0.0,7.4468,-0.9973,0.1739,1.6812,1.8099,49.7274,3.3898,4.5027,1.272,2.0822,24.7283,1.9719,1.6202,1504.0,1155.0,349.0,0.0,193.0,0.0,193.0,156.0,-44.0,112.0,2.0,110.0,0.0,110.0,-124.0,-15.0,253.0,156.0,132.756,134.55,-0.1154,-0.1154,1.26,3.34,4.42
2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.0,827.0,642.0,0.0,131.0,2446.0,3255.0,0.0,812.0,1224.0,6368.0,8814.0,1226.0,2042.0,1265.0,4282.0,5508.0,2.0,219.0,-10.0,0.0,3306.0,8814.0,48.0,68.0,10.0,78.0,0.0,0.0,0.0,93.0,93.0,219.0,-88.0,0.0,-49.0,0.0,0.0,0.0,-16.0,-153.0,-2.0,-8.0,-10.0,1.0,1.0,-42.0,-1.0,-52.0,16.0,0.0,-42.0,1.995,0.618,1.9951,0.3818,0.6198,10.6525,0.9321,0.9321,0.0,-3.9947,6.2583,0.0852,1.0452,0.9081,99.1079,-0.2117,-0.2807,-0.0794,-0.1309,25.1792,1.623,0.9706,751.0,671.0,80.0,0.0,73.0,0.0,73.0,7.0,-37.0,-30.0,-23.0,-7.0,0.0,-7.0,55.0,47.0,75.0,7.0,132.834,134.706,0.359,0.359,1.22,3.25,4.31
2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.0,713.0,742.0,0.0,128.0,2258.0,3308.0,0.0,821.0,1242.0,6449.0,8707.0,1038.0,2026.0,1247.0,4254.0,5292.0,2.0,241.0,59.0,0.0,3415.0,8707.0,66.0,99.0,-33.0,66.0,0.0,0.0,0.0,-147.0,-147.0,-15.0,-111.0,0.0,0.0,0.0,0.0,0.0,44.0,-67.0,-15.0,-3.0,-18.0,10.0,10.0,-42.0,0.0,-50.0,-115.0,0.0,-42.0,2.175,0.593,2.1753,0.3724,0.5953,23.1502,9.6703,9.6703,0.0,7.8388,4.7619,0.1568,1.4137,1.9144,47.011,2.1083,2.7756,0.8269,1.3233,25.8359,-0.1114,-0.9354,1365.0,1049.0,316.0,0.0,184.0,0.0,184.0,132.0,-25.0,107.0,35.0,72.0,0.0,72.0,-6.0,65.0,231.0,132.0,131.82,134.706,0.4872,0.4872,1.69,4.48,5.95
2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.0,839.0,799.0,0.0,120.0,2426.0,3382.0,0.0,826.0,1254.0,6567.0,8993.0,1430.0,1785.0,1262.0,4050.0,5480.0,2.0,244.0,116.0,0.0,3513.0,8993.0,90.0,86.0,52.0,138.0,0.0,0.0,0.0,-76.0,-76.0,152.0,-144.0,0.0,0.0,0.0,0.0,0.0,7.0,-137.0,-22.0,3.0,-19.0,25.0,25.0,-43.0,0.0,-37.0,-7.0,0.0,-43.0,1.697,0.508,1.6965,0.3369,0.5724,22.7636,10.1818,10.1818,0.0,7.3455,6.4727,0.1529,1.3292,1.6389,54.9164,1.9926,2.6051,0.7784,1.3213,26.398,1.1179,0.0685,1375.0,1062.0,313.0,0.0,173.0,0.0,173.0,140.0,-39.0,101.0,31.0,70.0,0.0,70.0,20.0,89.0,226.0,140.0,132.912,136.11,0.6667,0.6538,2.12,5.52,7.28
