Date,High,Low,Close,Volume,return_2m,return_3m,return_4m,return_5m,return_6m,return_8m,return_12m,expected_return_50d_US3Y,expected_return_50d_US5Y,expected_return_50d_US7Y,expected_return_50d_US10Y,expected_return_50d_US20Y,expected_return_50d_US30Y,expected_return_70d_US3Y,expected_return_70d_US5Y,expected_return_70d_US7Y,expected_return_70d_US10Y,expected_return_70d_US20Y,expected_return_70d_US30Y,expected_return_100d_US3Y,expected_return_100d_US5Y,expected_return_100d_US7Y,expected_return_100d_US10Y,expected_return_100d_US20Y,expected_return_100d_US30Y,expected_return_120d_US3Y,expected_return_120d_US5Y,expected_return_120d_US7Y,expected_return_120d_US10Y,expected_return_120d_US20Y,expected_return_120d_US30Y,expected_return_150d_US3Y,expected_return_150d_US5Y,expected_return_150d_US7Y,expected_return_150d_US10Y,expected_return_150d_US20Y,expected_return_150d_US30Y,expected_return_180d_US3Y,expected_return_180d_US5Y,expected_return_180d_US7Y,expected_return_180d_US10Y,expected_return_180d_US20Y,expected_return_180d_US30Y,expected_return_200d_US3Y,expected_return_200d_US5Y,expected_return_200d_US7Y,expected_return_200d_US10Y,expected_return_200d_US20Y,expected_return_200d_US30Y,expected_return_220d_US3Y,expected_return_220d_US5Y,expected_return_220d_US7Y,expected_return_220d_US10Y,expected_return_220d_US20Y,expected_return_220d_US30Y,expected_return_250d_US3Y,expected_return_250d_US5Y,expected_return_250d_US7Y,expected_return_250d_US10Y,expected_return_250d_US20Y,expected_return_250d_US30Y,expected_return_280d_US3Y,expected_return_280d_US5Y,expected_return_280d_US7Y,expected_return_280d_US10Y,expected_return_280d_US20Y,expected_return_280d_US30Y,expected_return_300d_US3Y,expected_return_300d_US5Y,expected_return_300d_US7Y,expected_return_300d_US10Y,expected_return_300d_US20Y,expected_return_300d_US30Y,expected_return_320d_US3Y,expected_return_320d_US5Y,expected_return_320d_US7Y,expected_return_320d_US10Y,expected_return_320d_US20Y,expected_return_320d_US30Y,expected_return_350d_US3Y,expected_return_350d_US5Y,expected_return_350d_US7Y,expected_return_350d_US10Y,expected_return_350d_US20Y,expected_return_350d_US30Y,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio_x,Debt to Equity ratio,Current Ratio_y,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Return on Assets,Return on Equity,Return on Tangible Equity
2011-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.0,810.0,748.0,0.0,108.0,2423.0,3361.0,0.0,809.0,1194.0,6496.0,8919.0,1418.0,1849.0,1230.0,4072.0,5490.0,2.0,360.0,-95.0,0.0,3429.0,8919.0,118.0,91.0,-25.0,66.0,0.0,0.0,0.0,66.0,66.0,250.0,-151.0,0.0,0.0,0.0,0.0,0.0,-10.0,-161.0,76.0,4.0,80.0,1.0,1.0,-42.0,4.0,43.0,89.0,0.0,-42.0,1.709,0.539,1.7087,0.3503,0.6089,22.7498,11.3395,11.3395,0.0,8.7881,8.292,0.1582,1.4572,1.742,51.6655,2.508,3.2824,0.9642,1.6294,25.7489,1.8384,0.7272,1411.0,1090.0,321.0,0.0,161.0,0.0,161.0,160.0,-36.0,124.0,38.0,86.0,0.0,86.0,32.0,117.0,251.0,160.0,133.38,136.032,0.8718,0.859,3.59,9.31,12.24
2011-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.0,591.0,579.0,0.0,74.0,2253.0,3442.0,0.0,668.0,1122.0,6557.0,8810.0,1486.0,1880.0,1244.0,4123.0,5609.0,2.0,292.0,-265.0,0.0,3201.0,8810.0,-24.0,85.0,-27.0,58.0,0.0,0.0,0.0,139.0,139.0,173.0,-190.0,0.0,-70.0,0.0,0.0,0.0,-18.0,-278.0,32.0,28.0,60.0,2.0,2.0,-43.0,-1.0,18.0,-101.0,0.0,-43.0,1.516,0.587,1.5162,0.37,0.6667,10.0195,-4.6693,-4.6693,0.0,-7.8794,-2.4319,0.1167,1.5976,1.7394,51.7413,-1.4683,-1.8555,-0.5335,-0.925,24.0174,1.2789,-0.1254,1028.0,925.0,103.0,0.0,151.0,0.0,151.0,-48.0,-33.0,-81.0,-34.0,-47.0,0.0,-47.0,23.0,-25.0,37.0,-48.0,132.912,135.798,-0.1667,-0.1795,2.78,7.26,9.43
2012-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.0,723.0,742.0,0.0,113.0,2061.0,3594.0,0.0,836.0,1207.0,6637.0,8698.0,1375.0,1879.0,1295.0,4072.0,5447.0,2.0,298.0,-225.0,0.0,3251.0,8698.0,50.0,92.0,90.0,182.0,0.0,0.0,0.0,-211.0,-211.0,21.0,-147.0,0.0,0.0,0.0,0.0,0.0,-4.0,-151.0,-3.0,-16.0,-19.0,12.0,12.0,-43.0,-1.0,-51.0,-173.0,0.0,-43.0,1.499,0.578,1.4989,0.3663,0.6561,20.7921,8.5301,8.5301,0.0,6.1691,3.7319,0.151,1.4016,1.816,49.5583,1.5687,2.1118,0.5863,0.9942,24.1152,0.1536,-0.9215,1313.0,1040.0,273.0,0.0,161.0,0.0,161.0,112.0,-31.0,81.0,30.0,51.0,0.0,51.0,-1.0,49.0,204.0,112.0,134.082,136.734,0.3718,0.359,2.6,6.87,8.97
2012-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.0,666.0,643.0,0.0,113.0,1953.0,3497.0,0.0,662.0,1084.0,6337.0,8290.0,1077.0,1866.0,1239.0,4027.0,5104.0,2.0,269.0,-285.0,0.0,3186.0,8290.0,90.0,91.0,-49.0,42.0,0.0,0.0,0.0,-39.0,-39.0,93.0,-171.0,0.0,0.0,0.0,0.0,0.0,-64.0,-235.0,-225.0,2.0,-223.0,12.0,12.0,-43.0,462.0,208.0,48.0,0.0,-43.0,1.813,0.586,1.8134,0.3694,0.5948,22.8391,10.26,10.26,0.0,8.2923,6.1841,0.1717,1.7076,2.1366,42.1223,2.511,3.1696,0.965,1.5835,23.5422,0.6735,-0.5586,1423.0,1098.0,325.0,0.0,179.0,0.0,179.0,146.0,-28.0,118.0,38.0,80.0,0.0,80.0,10.0,88.0,237.0,146.0,135.408,137.826,0.6538,0.641,2.64,7.01,9.08
2012-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.0,693.0,654.0,0.0,125.0,2217.0,3592.0,0.0,666.0,1087.0,6473.0,8690.0,1082.0,2093.0,1251.0,4280.0,5362.0,2.0,334.0,-241.0,0.0,3328.0,8690.0,51.0,90.0,-10.0,80.0,0.0,0.0,0.0,-14.0,-14.0,117.0,-139.0,0.0,0.0,0.0,0.0,0.0,-2.0,-141.0,256.0,-7.0,249.0,25.0,25.0,-44.0,2.0,232.0,214.0,0.0,-44.0,2.049,0.629,2.049,0.3861,0.6442,21.5054,10.0358,10.0358,0.0,7.4552,3.6559,0.1605,1.6743,2.013,44.7097,2.0132,2.5169,0.771,1.2359,24.417,0.8414,-0.1523,1395.0,1095.0,300.0,0.0,160.0,0.0,160.0,140.0,-36.0,104.0,37.0,67.0,0.0,67.0,-16.0,51.0,230.0,140.0,135.876,138.45,0.3718,0.359,1.89,5.03,6.43
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.0,605.0,661.0,0.0,135.0,2066.0,3593.0,0.0,719.0,1125.0,6842.0,8908.0,1106.0,2100.0,1295.0,4444.0,5550.0,2.0,288.0,-184.0,0.0,3358.0,8908.0,17.0,93.0,11.0,104.0,0.0,0.0,0.0,86.0,86.0,207.0,-168.0,0.0,-101.0,0.0,0.0,0.0,-3.0,-272.0,2.0,17.0,19.0,12.0,12.0,-43.0,1.0,-11.0,-82.0,0.0,-43.0,1.868,0.625,1.868,0.3848,0.6441,11.4187,-4.3253,-4.3253,0.0,-8.045,1.4706,0.1298,1.5492,1.9107,47.1021,-1.2507,-1.5915,-0.4715,-0.7695,24.5395,1.5005,0.2794,1156.0,1024.0,132.0,0.0,182.0,0.0,182.0,-50.0,-43.0,-93.0,-51.0,-42.0,0.0,-42.0,59.0,17.0,43.0,-50.0,135.564,138.216,0.1154,0.1282,2.37,6.25,8.01
2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.0,674.0,689.0,0.0,172.0,1952.0,3736.0,0.0,718.0,1105.0,6853.0,8805.0,1033.0,2085.0,1300.0,4401.0,5434.0,2.0,275.0,-194.0,0.0,3371.0,8805.0,12.0,97.0,-14.0,83.0,0.0,0.0,0.0,-182.0,-182.0,-87.0,-110.0,0.0,0.0,0.0,0.0,0.0,-2.0,-112.0,-17.0,-11.0,-28.0,28.0,28.0,-44.0,1.0,-43.0,-246.0,0.0,-44.0,1.89,0.619,1.8896,0.3821,0.6408,14.9504,2.1358,2.1358,0.0,-0.5339,0.8391,0.1489,1.6183,1.9451,46.27,-0.0297,-0.0377,-0.0114,-0.0183,24.4338,-0.6323,-1.4318,1311.0,1115.0,196.0,0.0,168.0,0.0,168.0,28.0,-35.0,-7.0,-6.0,-1.0,0.0,-1.0,13.0,11.0,125.0,28.0,137.592,137.592,0.0769,0.0769,1.93,5.04,6.38
2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.0,690.0,664.0,0.0,148.0,1933.0,3680.0,0.0,714.0,1107.0,6868.0,8801.0,1112.0,2049.0,1271.0,4371.0,5483.0,2.0,257.0,-225.0,0.0,3318.0,8801.0,68.0,96.0,6.0,102.0,0.0,0.0,0.0,29.0,29.0,199.0,-110.0,0.0,-2.0,0.0,0.0,0.0,-4.0,-116.0,-24.0,15.0,-9.0,8.0,8.0,-44.0,-12.0,-57.0,14.0,0.0,-44.0,1.738,0.618,1.7383,0.3818,0.6441,17.0504,5.6115,5.6115,0.0,3.3094,5.1079,0.1579,1.7364,2.0145,44.6763,1.4768,1.8817,0.5568,0.913,23.9832,1.4287,0.6638,1390.0,1153.0,237.0,0.0,159.0,0.0,159.0,78.0,-32.0,46.0,-3.0,49.0,0.0,49.0,19.0,71.0,174.0,78.0,138.45,140.634,0.5128,0.5,1.7,4.49,5.68
2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.0,691.0,665.0,0.0,121.0,1939.0,3718.0,0.0,717.0,1102.0,6957.0,8896.0,1053.0,2038.0,1269.0,4399.0,5452.0,2.0,337.0,-188.0,0.0,3444.0,8896.0,80.0,96.0,-17.0,79.0,0.0,0.0,0.0,-11.0,-11.0,148.0,-75.0,0.0,0.0,0.0,0.0,0.0,-12.0,-87.0,-7.0,15.0,8.0,10.0,10.0,-45.0,-2.0,-29.0,31.0,0.0,-45.0,1.841,0.592,1.8414,0.3718,0.6176,20.537,9.1437,9.1437,0.0,41.4877,41.0087,0.1549,1.6466,1.9942,45.1306,18.104,22.864,7.0088,11.3736,24.8287,0.9832,-0.1779,1378.0,1095.0,283.0,0.0,157.0,0.0,157.0,126.0,-26.0,100.0,39.0,61.0,0.0,61.0,19.0,80.0,222.0,126.0,138.84,141.024,0.5769,0.5641,2.02,5.31,6.74
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057.0,625.0,686.0,0.0,108.0,2476.0,3647.0,0.0,716.0,1971.0,7809.0,10285.0,1176.0,1816.0,1846.0,5010.0,6186.0,2.0,950.0,-180.0,0.0,4099.0,10285.0,678.0,101.0,-684.0,-583.0,0.0,0.0,0.0,82.0,82.0,177.0,-159.0,0.0,0.0,0.0,0.0,0.0,63.0,-96.0,-237.0,16.0,-221.0,-118.0,-118.0,-44.0,905.0,522.0,595.0,0.0,-44.0,2.105,0.443,2.1054,0.307,0.4623,18.626,6.8702,6.8702,0.0,6.3359,51.6794,0.1274,1.5539,2.096,42.9389,5.1232,6.2075,2.0418,3.5503,30.1252,1.3329,0.8248,1310.0,1066.0,244.0,0.0,154.0,0.0,154.0,90.0,-7.0,83.0,-127.0,210.0,0.0,210.0,468.0,677.0,353.2,90.0,138.216,140.4,4.9103,4.8333,9.12,23.58,29.52
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,735.0,731.0,0.0,128.0,1926.0,3646.0,0.0,718.0,1958.0,7829.0,9755.0,1037.0,1849.0,1857.0,5059.0,6096.0,2.0,761.0,-160.0,0.0,3659.0,9755.0,31.0,93.0,-119.0,-26.0,0.0,0.0,0.0,-213.0,-213.0,-208.0,-63.0,0.0,0.0,0.0,0.0,0.0,3.0,-60.0,30.0,17.0,47.0,-292.0,-292.0,-218.0,3.0,-460.0,-725.0,0.0,-218.0,1.857,0.505,1.8573,0.3357,0.5286,18.6838,6.5053,6.5053,0.0,3.4796,2.3449,0.1355,1.4706,1.7986,50.0378,0.8472,1.0541,0.3178,0.5628,27.9621,-1.537,-2.0025,1322.0,1075.0,247.0,0.0,161.0,0.0,161.0,86.0,-40.0,46.0,15.0,31.0,0.0,31.0,0.0,31.0,179.0,86.0,133.146,135.33,0.2308,0.2308,9.11,23.66,29.48
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,793.0,727.0,0.0,113.0,1972.0,3639.0,0.0,715.0,1959.0,7846.0,9818.0,1118.0,1787.0,754.0,5010.0,6128.0,2.0,750.0,-144.0,0.0,3690.0,9818.0,297.5,340.3,103.1,443.4,104.0,-22.1,0.0,185.6,216.2,957.1,-290.0,0.0,-393.9,0.0,0.0,0.0,3.8,-680.1,115.9,-17.0,98.9,205.3,205.3,140.5,9.5,454.2,728.6,29.4,140.5,1.764,0.484,1.7639,0.3263,0.5081,19.3449,9.1272,9.1272,0.0,8.3488,5.2669,0.2578,2.8078,3.1916,28.1995,3.6423,4.5176,1.3689,2.4539,28.0978,6.6678,4.7155,2530.9,2041.3,489.5999,0.0,245.3,0.0,258.6,230.9998,-19.7,211.3,76.9,134.4,0.0,134.4,0.0,133.3,571.2997,230.9998,143.8,146.0,0.93,0.91,9.51,24.74,30.63
2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,1118.7,1029.2,0.0,243.2,2432.5,5832.6,0.0,2617.5,157.1,8607.199,11039.7,1360.5,2852.1,180.6,5371.8,6732.3,1.4,1960.9,-495.3,0.0,4307.4,11039.7,-116.5,-154.3,-161.1,-315.4,-104.0,22.1,0.0,-202.6,-233.2,-665.1,180.0,0.0,393.9,0.0,0.0,0.0,30.2,604.1,-164.9,12.0,-152.9,-213.3,-213.3,-224.5,-4.5,-595.2,-660.6,-29.4,-224.5,1.788,0.662,1.7879,0.3984,0.6929,22.6839,12.8747,12.8747,0.0,10.0817,7.2207,0.133,1.1028,1.3122,68.5851,2.4841,6.3317,0.9692,1.4945,30.7671,-4.5032,-3.3779,1468.0,1135.0,333.0,0.0,144.0,0.0,144.0,189.0,-41.0,148.0,41.0,107.0,0.0,107.0,1.0,106.0,34.7,189.0,131.664,133.848,0.8077,0.7821,9.26,24.04,34.47
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.0,608.0,673.0,0.0,239.0,1974.0,3422.0,0.0,692.0,1902.0,7390.0,9364.0,1029.0,1790.0,695.0,4927.0,5956.0,2.0,866.0,-486.0,0.0,3408.0,9364.0,-86.4,-127.2,246.7,119.5,94.8,-19.1,0.0,224.6,215.3,248.4,49.6,0.0,0.0,0.0,0.0,0.0,-36.8,12.8,-155.0,-12.0,-167.0,293.1,293.1,274.5,-8.0,392.6,657.2,10.7,274.5,1.918,0.525,1.9184,0.3444,0.5493,18.6739,8.2929,8.2929,0.0,7.4616,4.9757,0.2685,3.0382,4.1352,21.7644,3.6854,4.6244,1.3413,2.4163,26.1321,1.7001,2.1285,2514.2,2044.7,469.5,0.0,243.7,0.0,261.0,208.5002,-20.9,187.6,62.0,125.6,0.0,125.6,0.0,125.1,81.3003,208.5002,140.3,142.8,0.89,0.88,3.95,10.49,15.31
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,688.0,681.0,0.0,232.0,1863.0,3306.0,0.0,680.0,1883.0,7270.0,9133.0,937.0,1810.0,672.0,4913.0,5850.0,2.0,857.0,-631.0,0.0,3283.0,9133.0,236.0,304.5,53.4,357.9,120.5,-22.1,0.0,-90.7,-43.1,550.8,-226.8,0.0,3.7,0.0,0.0,0.0,0.4,-222.7,-227.0,0.0,-227.0,-35.5,-35.5,-72.7,15.3,-319.9,7.1,21.4,-72.7,1.988,0.551,1.9883,0.3554,0.5739,18.6146,7.6275,7.6275,0.0,6.7682,4.4714,0.2689,2.9347,3.5692,25.2158,3.3628,4.2413,1.2088,2.1677,25.0824,3.8598,2.2705,2455.6,1998.5,457.1001,0.0,252.6,0.0,269.8,187.3,-21.1,166.2,55.8,110.4,0.0,110.4,0.0,109.8,491.8,187.3,140.8,142.7,0.78,0.77,4.82,12.91,18.99
2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,1025.9,996.2,0.0,232.2,2304.8,5782.6,0.0,2541.4,206.9,8530.9,10835.7,1316.3,2514.5,166.6,4962.7,6279.0,1.4,2207.4,-532.5,0.0,4556.7,10835.7,157.9,155.0,-2.4,152.6,-51.5,14.3,0.0,-21.2,-44.7,265.8,-109.3,0.0,0.0,0.0,0.0,0.0,0.4,-108.9,-110.5,0.0,-110.5,2.2,2.2,-46.0,2.5,-151.8,3.5,7.1,-46.0,1.751,0.552,1.751,0.3556,0.5801,20.7295,10.5085,10.5085,0.0,9.6971,6.1601,0.2343,2.0203,2.4748,36.3665,3.4652,7.8351,1.4572,2.233,32.34,1.8627,1.0967,2538.9,2012.6,526.2999,0.0,246.8,0.0,259.5,266.7998,-20.6,246.2,88.3,157.9,0.0,157.9,0.0,156.4,421.7998,266.7998,141.1,142.7,1.11,1.1,2.46,6.39,11.015
2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.1,1575.4,1761.0,0.0,261.7,4176.0,9159.8,0.0,7442.0,1806.0,21196.4,25372.4,2178.8,5558.2,1826.8,11409.7,13588.5,2.6,1661.6,-780.2,0.0,11783.9,25372.4,-393.9,-459.5,-51.0,-510.5,-69.0,7.8,0.0,111.9,87.8,-816.6,336.1,0.0,-3.7,0.0,0.0,0.0,-0.8,331.6,337.5,0.0,337.5,33.3,33.3,118.7,-17.8,471.7,-10.6,-28.5,118.7,1.917,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7225,-3.3672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,6.39,11.015
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.2,1491.0,2027.4,0.0,245.7,4008.3,9762.7,0.0,8723.3,1806.5,20822.9,24831.2,2249.1,5631.7,661.6,11459.7,13708.8,2.6,1104.1,-827.5,0.0,11122.4,24831.2,-451.7,294.3,563.9,858.2,228.6,-59.5,0.0,15.5,116.5,523.0,-195.4,0.0,-308.0,0.0,-0.1,-0.1,0.1,-503.4,179.8,-0.4,179.4,-88.9,-88.9,-99.2,-1.1,-9.8,8.6,11.8,-99.2,1.782,0.506,1.7822,0.3361,0.523,18.8625,100.0,0.0,0.0,1.5932,-13.0658,0.1398,1.3891,2.3279,38.6615,0.2733,1.2671,0.1224,0.1814,43.6173,1.9954,1.2499,3470.9,2816.2,654.7,0.0,0.0,0.0,0.0,3470.9,0.0,55.3,24.9,0.0,0.0,30.4,-482.1,-453.5,3470.9,0.0,257.6,262.1,-1.76,-1.76,-1.07,-2.45,-6.62
2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.9,1662.8,2058.9,0.0,352.6,4449.2,9787.3,0.0,8659.6,1829.3,20819.2,25268.4,2557.1,5858.3,1811.9,11636.5,14193.6,2.5,1060.3,-677.2,0.0,11074.8,25268.4,-391.9,1063.8,165.6,1229.4,113.5,-80.2,0.0,-66.1,-62.3,775.2,-408.9,0.0,-407.3,0.0,-0.4,-0.4,0.5,-816.1,644.2,0.2,644.4,-249.6,-249.6,-208.4,-0.1,186.3,139.3,30.2,-208.4,1.74,0.529,1.7399,0.346,0.5758,18.8193,4.3147,4.3147,0.0,2.6598,1.6291,0.1382,1.3771,2.1005,42.8471,0.5273,2.418,0.2311,0.3449,43.878,3.0117,1.4231,3492.7,2835.4,657.3,0.0,395.5,0.0,506.6,150.7,-57.8,92.9,34.5,58.4,0.0,58.4,1.4,56.9,1214.5,150.7,254.0,257.4,0.22,0.22,-0.37333333333333335,-0.8333333333333334,-2.876666666666667
2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.0,1596.6,1691.1,0.0,331.5,3885.2,9345.2,0.0,7439.3,2231.6,19561.2,23446.4,2307.1,5513.9,1881.6,11116.5,13423.6,2.5,83.3,-611.4,0.0,10022.8,23446.4,93.7,383.3,26.6,409.9,-62.5,106.0,0.0,-20.6,28.0,531.6,-194.9,0.0,4.6,0.0,-178.1,-178.1,4.9,-363.5,-17.5,2.3,-15.2,-39.3,-39.3,-99.7,-123.3,-277.5,-108.9,21.6,-99.7,1.684,0.55,1.684,0.3549,0.5846,20.2224,8.0467,8.0467,0.0,7.0096,2.5664,0.1534,1.6966,2.2526,39.9539,1.5205,5.899,0.65,0.9809,39.8521,2.089,1.3209,3596.5,2869.2,727.3,0.0,394.8,0.0,437.9,289.3999,-37.3,252.1,99.7,152.4,0.0,152.4,-58.7,92.3,672.7,289.3999,252.7,256.2,0.37,0.36,-0.37333333333333335,-0.8333333333333334,-2.876666666666667
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.4,1592.2,1638.2,0.0,315.8,3912.6,9294.3,0.0,7377.4,2196.1,19125.6,23038.2,2183.0,5496.3,1916.4,11025.2,13208.2,2.5,-105.9,-626.4,0.0,9830.0,23038.2,298.2,-1447.1,-192.2,-1639.3,-51.0,-25.8,0.0,86.7,34.3,-1306.8,603.8,0.0,402.7,0.0,178.5,178.5,-5.4,1179.6,-626.7,-2.5,-629.2,288.9,288.9,308.1,123.4,91.2,-30.4,-51.8,308.1,1.792,0.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.1007,-2.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37333333333333335,-0.8333333333333334,-2.876666666666667
