Date,High,Low,Close,Volume,return_2m,return_3m,return_4m,return_5m,return_6m,return_8m,return_12m,expected_return_50d_US3Y,expected_return_50d_US5Y,expected_return_50d_US7Y,expected_return_50d_US10Y,expected_return_50d_US20Y,expected_return_50d_US30Y,expected_return_70d_US3Y,expected_return_70d_US5Y,expected_return_70d_US7Y,expected_return_70d_US10Y,expected_return_70d_US20Y,expected_return_70d_US30Y,expected_return_100d_US3Y,expected_return_100d_US5Y,expected_return_100d_US7Y,expected_return_100d_US10Y,expected_return_100d_US20Y,expected_return_100d_US30Y,expected_return_120d_US3Y,expected_return_120d_US5Y,expected_return_120d_US7Y,expected_return_120d_US10Y,expected_return_120d_US20Y,expected_return_120d_US30Y,expected_return_150d_US3Y,expected_return_150d_US5Y,expected_return_150d_US7Y,expected_return_150d_US10Y,expected_return_150d_US20Y,expected_return_150d_US30Y,expected_return_180d_US3Y,expected_return_180d_US5Y,expected_return_180d_US7Y,expected_return_180d_US10Y,expected_return_180d_US20Y,expected_return_180d_US30Y,expected_return_200d_US3Y,expected_return_200d_US5Y,expected_return_200d_US7Y,expected_return_200d_US10Y,expected_return_200d_US20Y,expected_return_200d_US30Y,expected_return_220d_US3Y,expected_return_220d_US5Y,expected_return_220d_US7Y,expected_return_220d_US10Y,expected_return_220d_US20Y,expected_return_220d_US30Y,expected_return_250d_US3Y,expected_return_250d_US5Y,expected_return_250d_US7Y,expected_return_250d_US10Y,expected_return_250d_US20Y,expected_return_250d_US30Y,expected_return_280d_US3Y,expected_return_280d_US5Y,expected_return_280d_US7Y,expected_return_280d_US10Y,expected_return_280d_US20Y,expected_return_280d_US30Y,expected_return_300d_US3Y,expected_return_300d_US5Y,expected_return_300d_US7Y,expected_return_300d_US10Y,expected_return_300d_US20Y,expected_return_300d_US30Y,expected_return_320d_US3Y,expected_return_320d_US5Y,expected_return_320d_US7Y,expected_return_320d_US10Y,expected_return_320d_US20Y,expected_return_320d_US30Y,expected_return_350d_US3Y,expected_return_350d_US5Y,expected_return_350d_US7Y,expected_return_350d_US10Y,expected_return_350d_US20Y,expected_return_350d_US30Y,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio_x,Debt to Equity ratio,Current Ratio_y,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Price/Earnings,Price/Book,Price/FCF,Price/Sales,Return on Assets,Return on Equity,Return on Tangible Equity
2012-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14761.0,21666.0,0.0,21666.0,0.0,0.0,0.0,0.0,-1754.0,7240.0,-3042.0,0.0,-31.0,0.0,0.0,-86.0,0.0,-3159.0,0.0,-14.0,3.0,0.0,0.0,-19.0,-4491.0,-4521.0,-440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2013-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2182.0,12628.0,2078.0,0.0,7491.0,24379.0,17062.0,0.0,28882.0,7004.0,52948.0,68775.0,20912.0,617.0,8871.0,9488.0,30400.0,0.0,0.0,0.0,38375.0,38375.0,68775.0,16812.0,-17270.0,0.0,-17270.0,0.0,0.0,0.0,0.0,2371.0,1499.0,915.0,0.0,-136.0,0.0,0.0,153.0,0.0,932.0,0.0,-107.0,-1120.0,0.0,0.0,-12.0,-704.0,-1943.0,488.0,0.0,0.0,1.166,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2014-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2319.0,11397.0,1884.0,0.0,6431.0,22031.0,16960.0,0.0,28017.0,6503.0,51480.0,65071.0,19760.0,485.0,7654.0,8139.0,27899.0,0.0,0.0,0.0,37172.0,37172.0,65071.0,-403.0,-252.0,0.0,-252.0,0.0,0.0,0.0,0.0,-1264.0,-1828.0,-887.0,0.0,124.0,0.0,0.0,16.0,0.0,-747.0,0.0,139.0,834.0,0.0,0.0,-6.0,1697.0,2664.0,89.0,0.0,0.0,1.115,0.013,1.1149,0.0129,0.0371,0.0,100.0,0.0,0.0,6.2029,4.6821,0.4365,11.3721,2.4924,36.1096,0.0,0.0,0.0,0.0,0.0,3.645,2.0554,28406.0,21425.0,6981.0,876.0,0.0,0.0,0.0,28406.0,0.0,1762.0,432.0,0.0,0.0,0.0,0.0,1330.0,28406.0,0.0,1862.0,1896.0,0.71,0.7,,,,,,,
2015-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,997.0,-962.0,35.0,619.0,-134.0,-467.0,-1365.0,-14.0,568.0,-688.0,0.0,-1.0,0.0,-21.0,-21.0,0.0,-710.0,49.0,70.0,119.0,0.0,0.0,-10.0,226.0,335.0,193.0,139.0,-10.0,0.0,0.0,0.0,0.0,0.0,27.7331,5.6079,5.6079,0.0,5.47,4.1906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3097,-0.0654,13053.0,9433.0,3620.0,532.0,1973.0,-44.0,2888.0,732.0,-18.0,714.0,167.0,547.0,0.0,547.0,0.0,547.0,1729.0,732.0,1804.0,1834.0,0.3,0.3,,,,,,,
2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,973.0,619.0,1592.0,-208.0,-85.0,-110.0,-341.0,-709.0,1188.0,-569.0,0.0,-138.0,0.0,34.0,34.0,0.0,-673.0,-8.0,29.0,21.0,0.0,0.0,0.0,-329.0,-308.0,207.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5601,3.4106,3.4106,0.0,3.1716,2.4305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6478,0.3375,12549.0,8965.0,3584.0,552.0,1974.0,-159.0,3156.0,428.0,-30.0,398.0,93.0,305.0,0.0,305.0,0.0,305.0,1401.0,428.0,1804.0,1834.0,0.17,0.16,,,,,,,
2015-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.363636363636363,89.9090909090909,48.54545454545455,138.45454545454547,4.7272727272727275,-22.272727272727273,53.09090909090909,-3.5454545454545454,28.727272727272727,187.54545454545453,-98.36363636363636,0.0,-220.45454545454547,0.0,5.090909090909091,5.090909090909091,0.0,-313.72727272727275,-8.636363636363637,-16.0,-24.636363636363637,0.0,0.0,0.0,155.8181818181818,131.1818181818182,5.0,10.636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,2.6109272727272725,0.1698818181818182,0.1698818181818182,0.0,0.17267272727272728,0.15596363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10225454545454546,0.048627272727272734,1187.0,846.0909090909091,340.90909090909093,54.72727272727273,185.45454545454547,-51.72727272727273,318.72727272727275,22.181818181818183,0.36363636363636365,22.545454545454547,2.1818181818181817,20.363636363636363,0.0,20.363636363636363,0.0,20.363636363636363,112.0909090909091,22.181818181818183,164.0,166.72727272727272,0.011818181818181818,0.011818181818181818,,,,,1.3445454545454545,2.3536363636363635,9.556363636363637
2015-10-19,8.348748795223159,7.437155212016874,7.468745231628418,2721233.0,-0.1413079689108678,-0.2528894355099956,-0.17102234079678,0.0546844703862468,0.0492071362145947,0.1829909212062443,0.3296637305502987,0.0169718814783931,0.016246975372228,0.015648139893222,0.0151596162129803,0.0144662277636049,0.0138201157994143,0.0239286086194734,0.0233394143171698,0.0228526885891799,0.0224556228637144,0.0218920457049892,0.0213668942616317,0.0344696904197359,0.0339212875269133,0.0334682590502339,0.0330986831876795,0.0325741238988928,0.0320853300161596,0.0429598342584983,0.0421933687726543,0.0415602016321745,0.0410436705438883,0.0403105296443854,0.0396273756243941,0.0556463885214159,0.0546927036964636,0.0539048771019377,0.053262176459035,0.0523499561916892,0.0514999327607534,0.0684308357759859,0.0673545168183704,0.0664653837664272,0.0657400383819472,0.0647105159007498,0.0637511881341794,0.076291480609182,0.0752129846708978,0.0743220532436195,0.0735952407634714,0.0725636359529387,0.0716023678340332,0.0829882276645055,0.0819958622913454,0.081176082200474,0.0805073142316052,0.0795580951790172,0.0786735956072875,0.0920294538788855,0.0912027163900695,0.090519759334091,0.0899626101568454,0.0891718177762388,0.0884349430579462,0.0965489351217572,0.0961084212808893,0.0957445185427811,0.0954476505195876,0.0950262894544097,0.0946336575527666,0.0994965299801599,0.0992696451993516,0.0990822186412926,0.0989293180281392,0.0987122978030183,0.0985100744114283,0.1006495094885319,0.100696051394278,0.1007344990555466,0.1007658642528973,0.100810382597524,0.1008518656004716,0.1037854842521289,0.1041151732965488,0.1043875251158522,0.1046097068631787,0.1049250616013194,0.1052189148800415,,,,,,,,,,,,,,,,,,,,,,,,20.363636363636363,89.9090909090909,48.54545454545455,138.45454545454547,4.7272727272727275,-22.272727272727273,53.09090909090909,-3.5454545454545454,28.727272727272727,187.54545454545453,-98.36363636363636,,-220.45454545454547,,5.090909090909091,5.090909090909091,,-313.72727272727275,-8.636363636363637,-16.0,-24.636363636363637,,,,155.8181818181818,131.1818181818182,5.0,10.636363636363637,,,,,,,2.6109272727272725,0.1698818181818182,0.1698818181818182,,0.17267272727272728,0.15596363636363636,,,,,,,,,,0.10225454545454546,0.048627272727272734,1187.0,846.0909090909091,340.90909090909093,54.72727272727273,185.45454545454547,-51.72727272727273,318.72727272727275,22.181818181818183,0.36363636363636365,22.545454545454547,2.1818181818181817,20.363636363636363,,20.363636363636363,,20.363636363636363,112.0909090909091,22.181818181818183,164.0,166.72727272727272,0.011818181818181818,0.011818181818181818,,,,,1.3445454545454545,2.3536363636363635,9.556363636363637
2015-10-20,7.640234274564915,7.333361361941651,7.613156795501709,1220907.0,-0.1659248273841821,-0.2825288722303788,-0.1867469558805374,0.0573661556060534,0.038857701331465,0.1605511404992137,0.3134468002430421,0.0169088461648136,0.0161681812302535,0.0155693457512475,0.0150965808994007,0.0143874336216305,0.0137728393142296,0.0238773743323166,0.0232753714582238,0.0227886457302338,0.0224043885765576,0.0218280028460432,0.0213284685462641,0.0344220032116643,0.0338616785168239,0.0334086500401444,0.033050995979608,0.0325145148888034,0.032049564610106,0.0428931850858162,0.0421100573068017,0.0414768901663219,0.0409770213712063,0.0402272181785328,0.0395773887448825,0.0555634594062027,0.054589042302447,0.0538012157079211,0.0531792473438217,0.0522462947976727,0.0514377359243435,0.0683372428231497,0.0672375256273252,0.066348392575382,0.0656464454291111,0.0645935247097046,0.0636809934195524,0.0761976983536791,0.0750957568515191,0.0742048254242408,0.0735014585079685,0.07244640813356,0.0715320311424059,0.0829019350233612,0.0818879964899149,0.0810682163990435,0.0804210215904608,0.0794502293775868,0.0786088761264293,0.0919575636624667,0.091112853619546,0.0904298965635675,0.0898907199404266,0.0890819550057153,0.0883810253956321,0.0965106295703773,0.0960605393416646,0.0956966366035564,0.0954093449682078,0.0949784075151849,0.0946049283892317,0.0994768008687853,0.0992449838101333,0.0990575572520744,0.0989095889167646,0.0986876364138,0.0984952775778974,0.1006535566107707,0.1007011102970765,0.1007395579583451,0.100769911375136,0.1008154415003225,0.1008549009421507,0.1038141528646872,0.1041510090622467,0.10442336088155,0.1046383754757369,0.1049608973670173,0.1052404163394602,,,,,,,,,,,,,,,,,,,,,,,,20.363636363636363,89.9090909090909,48.54545454545455,138.45454545454547,4.7272727272727275,-22.272727272727273,53.09090909090909,-3.5454545454545454,28.727272727272727,187.54545454545453,-98.36363636363636,,-220.45454545454547,,5.090909090909091,5.090909090909091,,-313.72727272727275,-8.636363636363637,-16.0,-24.636363636363637,,,,155.8181818181818,131.1818181818182,5.0,10.636363636363637,,,,,,,2.6109272727272725,0.1698818181818182,0.1698818181818182,,0.17267272727272728,0.15596363636363636,,,,,,,,,,0.10225454545454546,0.048627272727272734,1187.0,846.0909090909091,340.90909090909093,54.72727272727273,185.45454545454547,-51.72727272727273,318.72727272727275,22.181818181818183,0.36363636363636365,22.545454545454547,2.1818181818181817,20.363636363636363,,20.363636363636363,,20.363636363636363,112.0909090909091,22.181818181818183,164.0,166.72727272727272,0.011818181818181818,0.011818181818181818,,,,,1.3445454545454545,2.3536363636363635,9.556363636363637
2015-10-21,7.829772107661497,7.401052475807143,7.437154293060303,135236.0,-0.1461861865250551,-0.2442348749679662,-0.1595844107682561,0.0823890450137889,0.0671096067325933,0.2113103914683247,0.3291674475405055,0.0169403638216034,0.0162154577154382,0.0156323810648271,0.0151596162129803,0.0144662277636049,0.013851633456204,0.023902991475895,0.0233137971735914,0.0228398800173907,0.0224556228637144,0.0218920457049892,0.0213925114052101,0.0344458468157001,0.0338974439228776,0.033456337248216,0.0330986831876795,0.0325741238988928,0.0321091736201954,0.0429265096721572,0.0421600441863133,0.041543539339004,0.0410436705438883,0.0403105296443854,0.0396607002107351,0.0556049239638093,0.0546512391388569,0.0538841448231344,0.053262176459035,0.0523499561916892,0.05154139731836,0.0683840392995678,0.0673077203419523,0.0664419855282181,0.0657400383819472,0.0647105159007498,0.0637979846105975,0.0762445894814305,0.0751660935431463,0.0742986076797438,0.0735952407634714,0.0725636359529387,0.0716492589617847,0.0829450813439333,0.0819527159707732,0.0811545090401879,0.0805073142316052,0.0795580951790172,0.0787167419278597,0.0919935087706761,0.0911667712818601,0.0905017867799863,0.0899626101568454,0.0891718177762388,0.0884708881661556,0.0965297823460673,0.0960892685051994,0.0957349421549362,0.0954476505195876,0.0950262894544097,0.0946528103284565,0.0994866654244726,0.0992597806436643,0.099077286363449,0.0989293180281392,0.0987122978030183,0.0985199389671157,0.1006515330496513,0.1006980749553974,0.1007355108361063,0.1007658642528973,0.100810382597524,0.1008498420393523,0.1037998185584081,0.104129507602828,0.1043946922689918,0.1046097068631787,0.1049250616013194,0.1052045805737624,,,,,,,,,,,,,,,,,,,,,,,,20.363636363636363,89.9090909090909,48.54545454545455,138.45454545454547,4.7272727272727275,-22.272727272727273,53.09090909090909,-3.5454545454545454,28.727272727272727,187.54545454545453,-98.36363636363636,,-220.45454545454547,,5.090909090909091,5.090909090909091,,-313.72727272727275,-8.636363636363637,-16.0,-24.636363636363637,,,,155.8181818181818,131.1818181818182,5.0,10.636363636363637,,,,,,,2.6109272727272725,0.1698818181818182,0.1698818181818182,,0.17267272727272728,0.15596363636363636,,,,,,,,,,0.10225454545454546,0.048627272727272734,1187.0,846.0909090909091,340.90909090909093,54.72727272727273,185.45454545454547,-51.72727272727273,318.72727272727275,22.181818181818183,0.36363636363636365,22.545454545454547,2.1818181818181817,20.363636363636363,,20.363636363636363,,20.363636363636363,112.0909090909091,22.181818181818183,164.0,166.72727272727272,0.011818181818181818,0.011818181818181818,,,,,1.3445454545454545,2.3536363636363635,9.556363636363637
2015-10-22,7.694387694555713,7.328848024078424,7.6492600440979,189261.0,-0.1674930669585899,-0.2095330402506323,-0.1828882308384399,0.0404916298879522,0.0393027255718718,0.1449414122390442,0.2923110642968953,0.0169718814783931,0.0162312165438331,0.0156323810648271,0.0151596162129803,0.0144662277636049,0.013851633456204,0.0239286086194734,0.0233266057453806,0.0228398800173907,0.0224556228637144,0.0218920457049892,0.0213925114052101,0.0344696904197359,0.0339093657248954,0.033456337248216,0.0330986831876795,0.0325741238988928,0.0321091736201954,0.0429598342584983,0.0421767064794838,0.041543539339004,0.0410436705438883,0.0403105296443854,0.0396607002107351,0.0556463885214159,0.0546719714176602,0.0538841448231344,0.053262176459035,0.0523499561916892,0.05154139731836,0.0684308357759859,0.0673311185801614,0.0664419855282181,0.0657400383819472,0.0647105159007498,0.0637979846105975,0.076291480609182,0.075189539107022,0.0742986076797438,0.0735952407634714,0.0725636359529387,0.0716492589617847,0.0829882276645055,0.0819742891310593,0.0811545090401879,0.0805073142316052,0.0795580951790172,0.0787167419278597,0.0920294538788855,0.0911847438359648,0.0905017867799863,0.0899626101568454,0.0891718177762388,0.0884708881661556,0.0965489351217572,0.0960988448930444,0.0957349421549362,0.0954476505195876,0.0950262894544097,0.0946528103284565,0.0994965299801599,0.099264712921508,0.099077286363449,0.0989293180281392,0.0987122978030183,0.0985199389671157,0.1006495094885319,0.1006970631748377,0.1007355108361063,0.1007658642528973,0.100810382597524,0.1008498420393523,0.1037854842521289,0.1041223404496884,0.1043946922689918,0.1046097068631787,0.1049250616013194,0.1052045805737624,,,,,,,,,,,,,,,,,,,,,,,,20.363636363636363,89.9090909090909,48.54545454545455,138.45454545454547,4.7272727272727275,-22.272727272727273,53.09090909090909,-3.5454545454545454,28.727272727272727,187.54545454545453,-98.36363636363636,,-220.45454545454547,,5.090909090909091,5.090909090909091,,-313.72727272727275,-8.636363636363637,-16.0,-24.636363636363637,,,,155.8181818181818,131.1818181818182,5.0,10.636363636363637,,,,,,,2.6109272727272725,0.1698818181818182,0.1698818181818182,,0.17267272727272728,0.15596363636363636,,,,,,,,,,0.10225454545454546,0.048627272727272734,1187.0,846.0909090909091,340.90909090909093,54.72727272727273,185.45454545454547,-51.72727272727273,318.72727272727275,22.181818181818183,0.36363636363636365,22.545454545454547,2.1818181818181817,20.363636363636363,,20.363636363636363,,20.363636363636363,112.0909090909091,22.181818181818183,164.0,166.72727272727272,0.011818181818181818,0.011818181818181818,,,,,1.3445454545454545,2.3536363636363635,9.556363636363637
