Stock Name,Margins,Margins (%),Overnight financing - buying,Overnight financing - selling,Initial collateral,Mandatory collateral
NVDA,0.89,0.74%,-0.0768%,-0.033%,10.00%,5.00%
INTC,0.11,0.50%,-0.06144%,-0.0264%,10.00%,5.00%
AVGO,1.22,0.75%,-0.06144%,-0.0264%,10.00%,5.00%
QCOM,1.31,0.74%,-0.06144%,-0.0264%,10.00%,5.00%
AAPL,1.72,0.75%,-0.06144%,-0.0264%,10.00%,5.00%
